,Squad,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Arsenal,456,252,206,184,66,212,547,38.8,335,368,113,255,351,807,643,16
1,Aston Villa,530,282,262,202,66,250,571,43.8,321,438,159,279,387,917,783,17
2,Brighton,628,334,297,251,80,252,603,41.8,351,417,97,320,425,1053,604,8
3,Burnley,507,293,241,203,63,229,564,40.6,335,440,180,260,416,923,824,11
4,Chelsea,612,341,257,282,73,231,570,40.5,339,420,83,337,382,994,661,16
5,Crystal Palace,636,366,329,234,73,283,620,45.6,337,447,138,309,396,1032,774,13
6,Everton,640,381,325,242,73,266,664,40.1,398,458,157,301,392,1032,847,19
7,Fulham,601,329,282,231,88,254,581,43.7,327,356,95,261,437,1038,794,13
8,Leeds United,740,417,378,279,83,310,769,40.3,459,406,149,257,397,1137,646,26
9,Leicester City,681,403,319,263,99,295,676,43.6,381,386,90,296,438,1119,685,9
10,Liverpool,526,303,195,231,100,220,543,40.5,323,338,58,280,347,873,563,20
11,Manchester City,498,271,198,212,88,234,576,40.6,342,310,82,228,319,817,453,11
12,Manchester Utd,551,311,252,239,60,231,572,40.4,341,418,116,302,386,937,634,20
13,Newcastle Utd,512,268,257,213,42,207,547,37.8,340,423,160,263,362,874,908,10
14,Sheffield Utd,634,356,325,239,70,294,720,40.8,426,442,152,290,351,985,839,19
15,Southampton,727,419,335,325,67,341,731,46.6,390,439,95,344,401,1128,681,10
16,Tottenham,636,361,313,244,79,277,683,40.6,406,434,147,287,342,978,795,15
17,West Brom,581,328,329,192,60,271,656,41.3,385,455,159,296,435,1016,876,13
18,West Ham,514,280,269,195,50,224,573,39.1,349,405,124,281,437,951,779,11
19,Wolves,588,335,322,220,46,277,611,45.3,334,359,117,242,432,1020,727,15
