,Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,Alavés,2,57,3,0,5,0,51.1,0.4,-5.9,-0.2
1,Athletic Club,2,42,5,1,6,1,37.4,0.3,-3.6,-0.1
2,Atlético Madrid,1,25,1,0,5,3,33.1,0.2,11.1,0.3
3,Barcelona,2,38,5,1,5,2,36.0,0.2,0.0,0.0
4,Betis,2,50,8,1,4,3,46.8,0.3,-0.2,0.0
5,Cádiz,3,58,9,2,4,1,53.8,0.3,-3.2,-0.1
6,Celta Vigo,2,57,7,2,4,1,49.7,0.3,-6.3,-0.2
7,Eibar,2,52,3,0,5,0,47.5,0.3,-4.5,-0.1
8,Elche,2,55,6,0,6,1,58.8,0.3,4.8,0.1
9,Getafe,2,43,7,0,3,3,39.7,0.3,-0.3,-0.0
10,Granada,3,65,6,2,4,1,61.9,0.3,-2.1,-0.0
11,Huesca,2,53,5,1,10,2,48.2,0.3,-2.8,-0.1
12,Levante,3,57,3,1,6,2,50.0,0.3,-5.0,-0.1
13,Osasuna,3,48,5,0,5,2,47.0,0.3,1.0,0.0
14,Real Madrid,1,28,7,0,3,1,32.7,0.2,5.7,0.2
15,Real Sociedad,1,38,3,0,4,1,35.0,0.3,-2.0,-0.0
16,Sevilla,2,33,4,0,4,2,33.5,0.2,2.5,0.1
17,Valencia,2,53,5,3,5,2,48.2,0.2,-2.8,-0.1
18,Valladolid,2,57,6,1,5,0,53.4,0.3,-3.6,-0.1
19,Villarreal,2,44,7,0,3,2,38.7,0.2,-3.3,-0.1
