,Cl,Equipe,MP,V,E,D,GP,GC,GD,Pt,Pts/PPJ,xG,xGA,xGD,xGD/90,Público,Artilheiro da equipe,Goleiro,Gols do artilheiro
0,1,Inter,38,28,7,3,89,35,54,91,239,74.2,39.8,34.3,90,158,Romelu Lukaku,Samir Handanović,24
1,2,Milan,38,24,7,7,74,41,33,79,208,70.7,47.0,23.7,62,105,Zlatan Ibrahimović,Gianluigi Donnarumma,15
2,3,Atalanta,38,23,9,6,90,47,43,78,205,74.7,41.0,33.7,89,105,Luis Muriel,Pierluigi Gollini,22
3,4,Juventus,38,23,9,6,77,38,39,78,205,74.4,39.4,35.0,92,105,Cristiano Ronaldo,Wojciech Szczęsny,29
4,5,Napoli,38,24,5,9,86,41,45,77,203,67.7,42.6,25.2,66,105,Lorenzo Insigne,Alex Meret,19
5,6,Lazio,38,21,5,12,61,55,6,68,179,58.2,47.3,10.9,29,158,Ciro Immobile,Pepe Reina,20
6,7,Roma,38,18,8,12,68,58,10,62,163,65.3,45.6,19.7,53,105,Henrikh Mkhitaryan,Pau López,13
7,8,Sassuolo,38,17,11,10,64,56,8,62,163,58.4,55.4,3.0,8,134,Domenico Berardi,Andrea Consigli,17
8,9,Sampdoria,38,15,7,16,52,54,-2,52,137,45.4,56.1,-10.7,-28,105,Fabio Quagliarella,Emil Audero,13
9,10,Hellas Verona,38,11,12,15,46,48,-2,45,118,45.3,49.5,-4.1,-11,611,Antonín Barák,Marco Silvestri,7
10,11,Genoa,38,10,12,16,47,58,-11,42,111,38.8,60.5,-21.7,-57,53,Mattia Destro,Mattia Perin,11
11,12,Bologna,38,10,11,17,51,65,-14,41,108,54.6,62.6,-7.9,-21,105,Roberto Soriano,Łukasz Skorupski,9
12,13,Fiorentina,38,9,13,16,47,59,-12,40,105,44.9,61.5,-16.6,-44,105,Dušan Vlahović,Bartłomiej Drągowski,21
13,14,Udinese,38,10,10,18,42,58,-16,40,105,45.7,52.6,-6.9,-18,158,Rodrigo De Paul,Juan Musso,9
14,15,Spezia,38,9,12,17,52,72,-20,39,103,46.6,65.1,-18.5,-49,105,M'Bala Nzola,Ivan Provedel,11
15,16,Cagliari,38,9,10,19,43,59,-16,37,97,47.1,61.7,-14.6,-38,105,João Pedro,Alessio Cragno,16
16,17,Torino,38,7,16,15,50,69,-19,37,97,50.0,62.0,-11.9,-31,105,Andrea Belotti,Salvatore Sirigu,13
17,18,Benevento,38,7,12,19,40,75,-35,33,87,40.6,64.3,-23.6,-62,158,Gianluca Lapadula,Lorenzo Montipò,8
18,19,Crotone,38,6,5,27,45,92,-47,23,61,40.4,70.8,-30.5,-80,53,Simeon Nwankwo,Alex Cordaz,20
19,20,Parma,38,3,11,24,39,83,-44,20,53,42.5,61.0,-18.5,-49,158,"Juraj Kucka, Hernani",Luigi Sepe,7
