,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Arsenal,53,453,140,30.9,11.9,3.7,0.1,0.3,17.7,23,6,6,51.7,47.0,0.1,1.3,0.0
1,Aston Villa,52,514,178,34.6,13.5,4.7,0.1,0.3,17.3,16,5,6,52.5,47.9,0.1,-0.5,-0.9
2,Brighton,39,478,134,28.0,12.6,3.5,0.1,0.2,17.4,15,6,9,50.9,43.8,0.1,-11.9,-10.8
3,Burnley,32,381,124,32.5,10.0,3.3,0.1,0.2,17.4,15,3,3,39.3,36.9,0.1,-7.3,-7.9
4,Chelsea,56,546,193,35.3,14.4,5.1,0.1,0.2,17.1,16,8,10,62.4,54.5,0.1,-6.4,-6.5
5,Crystal Palace,39,345,127,36.8,9.1,3.3,0.1,0.3,17.6,18,3,4,34.1,31.0,0.1,4.9,5.0
6,Everton,45,395,143,36.2,10.4,3.8,0.1,0.3,17.2,15,4,5,45.7,41.9,0.1,-0.7,-0.9
7,Fulham,26,436,125,28.7,11.5,3.3,0.0,0.2,18.3,12,3,6,40.5,35.9,0.1,-14.5,-12.9
8,Leeds United,60,518,193,37.3,13.6,5.1,0.1,0.3,16.9,9,4,4,55.6,52.5,0.1,4.4,3.5
9,Leicester City,64,473,170,35.9,12.4,4.5,0.1,0.3,18.6,20,10,12,55.8,46.3,0.1,8.2,7.7
10,Liverpool,65,602,204,33.9,15.8,5.4,0.1,0.3,17.1,22,6,6,67.5,62.9,0.1,-2.5,-3.9
11,Manchester City,82,590,211,35.8,15.5,5.6,0.1,0.4,17.2,21,5,9,68.2,61.2,0.1,13.8,15.8
12,Manchester Utd,70,515,196,38.1,13.6,5.2,0.1,0.3,18.1,21,10,11,60.1,51.4,0.1,9.9,8.6
13,Newcastle Utd,44,390,130,33.3,10.3,3.4,0.1,0.3,18.3,25,6,7,43.4,37.8,0.1,0.6,0.2
14,Sheffield Utd,19,319,92,28.8,8.4,2.4,0.0,0.2,17.7,5,3,4,32.6,29.5,0.1,-13.6,-13.5
15,Southampton,47,418,157,37.6,11.0,4.1,0.1,0.3,18.6,20,5,6,41.2,36.6,0.1,5.8,5.4
16,Tottenham,66,438,167,38.1,11.5,4.4,0.1,0.4,18.0,35,5,5,53.1,49.2,0.1,12.9,11.8
17,West Brom,33,335,106,31.6,8.8,2.8,0.1,0.3,18.4,16,4,4,35.8,32.7,0.1,-2.8,-3.7
18,West Ham,60,464,158,34.1,12.2,4.2,0.1,0.4,16.1,17,2,4,55.4,52.1,0.1,4.6,5.9
19,Wolves,34,459,149,32.5,12.1,3.9,0.1,0.2,18.5,18,4,4,36.5,33.4,0.1,-2.5,-3.4
