,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Atalanta,90,614,221,36.0,16.2,5.8,0.1,0.4,16.6,28,6,7,74.7,69.3,0.1,15.3,14.7
1,Benevento,40,411,128,31.1,10.8,3.4,0.1,0.3,17.7,17,5,7,40.6,35.0,0.1,-0.6,0.0
2,Bologna,49,495,175,35.4,13.0,4.6,0.1,0.3,18.5,24,3,4,54.6,51.1,0.1,-5.6,-5.1
3,Cagliari,43,429,122,28.4,11.3,3.2,0.1,0.3,17.4,13,4,5,47.1,43.4,0.1,-4.1,-4.4
4,Crotone,44,353,111,31.4,9.3,2.9,0.1,0.3,18.8,15,9,9,40.4,33.4,0.1,3.6,1.6
5,Fiorentina,44,366,115,31.4,9.6,3.0,0.1,0.3,16.9,14,6,6,44.9,40.2,0.1,-0.9,-2.2
6,Genoa,46,338,120,35.5,8.9,3.2,0.1,0.4,18.0,11,4,4,38.8,35.6,0.1,7.2,6.4
7,Hellas Verona,38,400,118,29.5,10.5,3.1,0.1,0.3,16.2,13,3,3,45.3,43.0,0.1,-7.3,-8.0
8,Inter,84,543,194,35.7,14.3,5.1,0.1,0.4,16.3,17,8,9,74.2,67.2,0.1,9.8,8.8
9,Juventus,76,585,206,35.2,15.4,5.4,0.1,0.3,16.8,23,8,10,74.4,67.0,0.1,1.6,1.0
10,Lazio,59,514,175,34.0,13.5,4.6,0.1,0.3,17.3,14,6,10,58.2,50.7,0.1,0.8,2.3
11,Milan,72,537,184,34.3,14.1,4.8,0.1,0.3,18.4,30,15,20,70.7,56.0,0.1,1.3,1.0
12,Napoli,83,637,217,34.1,16.8,5.7,0.1,0.4,18.1,25,7,8,67.7,61.4,0.1,15.3,14.6
13,Parma,39,392,123,31.4,10.3,3.2,0.1,0.3,18.1,20,5,5,42.5,38.6,0.1,-3.5,-4.6
14,Roma,67,537,191,35.6,14.1,5.0,0.1,0.3,16.4,14,7,8,65.3,59.0,0.1,1.7,1.0
15,Sampdoria,52,422,134,31.8,11.1,3.5,0.1,0.4,17.5,15,5,6,45.4,41.1,0.1,6.6,5.9
16,Sassuolo,61,516,164,31.8,13.6,4.3,0.1,0.3,18.7,25,13,14,58.4,47.7,0.1,2.6,0.3
17,Spezia,52,382,130,34.0,10.0,3.4,0.1,0.4,16.8,10,4,5,46.6,42.7,0.1,5.4,5.3
18,Torino,49,457,144,31.5,12.0,3.8,0.1,0.3,17.5,40,5,6,50.0,45.3,0.1,-1.0,-1.3
19,Udinese,40,410,125,30.5,10.8,3.3,0.1,0.3,18.1,13,4,4,45.7,42.9,0.1,-5.7,-6.9
