,Cl,Equipe,MP,V,E,D,GP,GC,GD,Pt,Pts/PPJ,xG,xGA,xGD,xGD/90,Público,Artilheiro da equipe,Goleiro,Gols do artilheiro
0,1,Atlético Madrid,38,26,8,4,67,25,42,86,226,52.8,37.1,15.7,41,,Luis Suárez,Jan Oblak,21
1,2,Real Madrid,38,25,9,4,67,28,39,84,221,61.5,37.6,23.9,63,,Karim Benzema,Thibaut Courtois,23
2,3,Barcelona,38,24,7,7,85,38,47,79,208,73.5,40.8,32.7,86,,Lionel Messi,Marc-André ter Stegen,30
3,4,Sevilla,38,24,5,9,53,33,20,77,203,54.4,34.8,19.6,52,,Youssef En-Nesyri,Yassine Bounou,18
4,5,Real Sociedad,38,17,11,10,59,38,21,62,163,60.7,39.2,21.5,57,,Alexander Isak,Álex Remiro,17
5,6,Betis,38,17,10,11,50,50,0,61,161,49.1,46.8,2.2,6,,Borja Iglesias,Claudio Bravo,11
6,7,Villarreal,38,15,13,10,60,44,16,58,153,56.4,42.5,13.9,37,253.0,Gerard Moreno,Sergio Asenjo,23
7,8,Celta Vigo,38,14,11,13,55,57,-2,53,139,50.4,51.0,-0.6,-2,91.0,Iago Aspas,Iván Villar,14
8,9,Granada,38,13,7,18,47,65,-18,46,121,41.1,56.2,-15.0,-40,,Roberto Soldado,Rui Silva,9
9,10,Athletic Club,38,11,13,14,46,42,4,46,121,43.1,37.7,5.4,14,,Álex Berenguer,Unai Simón,8
10,11,Osasuna,38,11,11,16,37,48,-11,44,116,38.7,47.8,-9.0,-24,,Ante Budimir,Sergio Herrera,11
11,12,Cádiz,38,11,11,16,36,58,-22,44,116,34.7,55.4,-20.7,-54,,Álvaro Negredo,Jeremías Ledesma,8
12,13,Valencia,38,10,13,15,50,53,-3,43,113,42.6,52.2,-9.6,-25,142.0,Carlos Soler,Jaume Doménech,11
13,14,Levante,38,9,14,15,46,57,-11,41,108,40.4,53.4,-13.0,-34,,José Luis Morales,Aitor Fernández,13
14,15,Getafe,38,9,11,18,28,43,-15,38,100,34.4,40.3,-5.9,-16,,"Ángel Rodríguez, Jaime Mata",David Soria,5
15,16,Alavés,38,9,11,18,36,57,-21,38,100,42.6,49.9,-7.3,-19,,Joselu,Fernando Pacheco,11
16,17,Elche,38,8,12,18,34,55,-21,36,95,29.9,60.9,-31.0,-82,185.0,Lucas Boyé,Édgar Badía,7
17,18,Huesca,38,7,13,18,34,53,-19,34,89,38.9,48.4,-9.5,-25,,Rafa Mir,Álvaro Fernández,13
18,19,Valladolid,38,5,16,17,34,57,-23,31,82,40.1,52.9,-12.8,-34,,"Fabián Orellana, Shon Weissman",Jordi Masip,6
19,20,Eibar,38,6,12,20,29,52,-23,30,79,45.2,45.7,-0.5,-1,,Kiké,Marko Dmitrović,12
