,Equipe,# J,Posse,90s,Contatos,Def Pen,Terço Def,Terço Central,Terço de Ataque,Att Pen,Em jogo,Tent,Suc,Suc%,Tkld,Tkld%,Conduções,DistTot,DistPrg,PrgC,1/3,CPA,Perda de Domínio,Dis,Rec,PrgR
0,Arsenal,29,53.5,38.0,25431,2426,7970,11384,6240,910,25425,535,296,553,239,447,15532,83176,45081,758,499,195,511,260,17924,1748
1,Aston Villa,24,48.5,38.0,21113,2577,6973,8614,5759,947,21107,595,369,620,223,375,11291,60378,30659,629,463,226,579,337,12832,1403
2,Brighton,27,51.1,38.0,23756,2489,7928,10231,5828,885,23747,573,350,611,222,387,13491,73709,37608,685,468,131,549,306,15634,1495
3,Burnley,25,42.1,38.0,19391,2181,5794,9081,4683,699,19388,403,234,581,170,422,9240,46385,20946,389,340,75,503,278,10755,1002
4,Chelsea,27,60.9,38.0,29889,2502,8879,13917,7308,1017,29879,657,359,546,298,454,17523,90661,48291,895,663,243,585,286,21851,1787
5,Crystal Palace,24,40.6,38.0,19798,2193,6917,8697,4410,653,19794,645,365,566,280,434,10226,56545,26885,526,388,151,596,402,11524,1113
6,Everton,29,46.4,38.0,22845,2729,8235,10258,4585,643,22840,591,362,613,229,387,12603,70612,36337,604,443,105,552,344,14706,1177
7,Fulham,28,49.7,38.0,23810,2407,8063,10438,5567,728,23804,795,506,636,289,364,13406,74278,37380,727,525,156,721,393,15290,1338
8,Leeds United,23,57.3,38.0,24873,2750,9043,10345,5695,880,24869,563,318,565,245,435,14066,80443,44866,811,491,158,667,319,16154,1625
9,Leicester City,27,54.3,38.0,25365,2268,7924,11997,5674,772,25353,645,358,555,287,445,13991,72340,37072,666,481,142,549,322,16883,1455
10,Liverpool,28,62.1,38.0,30073,2075,7215,14867,8242,1211,30067,696,407,585,288,414,19103,96220,50778,886,754,249,592,387,21796,2041
11,Manchester City,24,63.5,38.0,30700,1912,6477,15960,8504,1196,30691,783,485,619,298,381,20039,106424,59443,1096,863,340,510,350,23640,2033
12,Manchester Utd,29,55.7,38.0,26617,2222,7609,11950,7323,921,26606,711,415,584,293,412,15481,88886,47495,877,666,201,536,360,18671,1817
13,Newcastle Utd,27,38.8,38.0,18774,2524,7166,7894,3941,552,18767,587,350,596,237,404,9605,51309,24707,467,376,114,519,297,10730,888
14,Sheffield Utd,27,41.7,38.0,20351,2314,6405,8599,5537,615,20347,475,269,566,207,436,10178,54344,27029,491,398,104,536,323,12037,1183
15,Southampton,29,52.0,38.0,23607,2302,7497,11566,4756,698,23601,601,343,571,258,429,12535,66172,33536,626,517,126,638,386,14818,1190
16,Tottenham,24,51.6,38.0,24670,2577,7991,11935,4997,700,24665,715,403,564,312,436,13842,73058,37183,633,506,152,519,334,16404,1316
17,West Brom,30,37.9,38.0,18247,2539,6670,7517,4237,578,18242,505,264,523,241,477,8262,44861,21527,441,283,103,613,313,9668,1017
18,West Ham,24,43.2,38.0,20810,2294,6638,9343,5060,761,20806,542,298,550,244,450,10960,63334,30416,658,455,152,491,318,12606,1263
19,Wolves,27,49.3,38.0,23259,2190,7246,11020,5206,694,23255,779,468,601,311,399,13272,72908,38578,800,566,177,592,309,15405,1266
