,Equipe,# J,90s,CrtsA,CrtV,2CrdY,Fts,FltsP,Desativado,Crz,Crts,TklW,Pênaltis convertidos,PKcon,OG,Recuperação,Ganhos,Perdas,Ganhos%
0,Arminia,26,34.0,55,2,1,433,307,54,487,421,311,2,7,2,1907,658,734,473
1,Augsburg,26,34.0,74,0,0,448,357,73,592,363,335,4,5,2,1927,557,604,480
2,Bayern Munich,30,34.0,36,2,0,305,354,76,656,349,338,1,2,1,2220,422,394,517
3,Bochum,28,34.0,55,2,0,424,391,75,600,429,353,4,8,4,2088,609,599,504
4,Dortmund,33,34.0,63,1,1,362,398,73,491,347,322,6,6,2,2052,419,363,536
5,Eint Frankfurt,27,34.0,61,1,1,422,299,53,697,377,330,1,4,1,2251,552,644,462
6,Freiburg,26,34.0,34,0,0,392,375,58,633,355,299,4,2,1,1920,675,638,514
7,Gladbach,26,34.0,67,1,0,359,472,73,440,326,345,6,5,0,1850,464,419,525
8,Greuther Fürth,29,34.0,61,0,0,437,434,69,478,374,336,3,6,5,1878,468,602,437
9,Hertha BSC,36,34.0,62,2,0,421,430,73,505,406,321,3,8,0,1830,556,575,492
10,Hoffenheim,32,34.0,75,0,0,429,348,70,703,285,291,0,4,1,1905,485,574,458
11,Köln,26,34.0,68,1,1,419,459,67,829,426,361,1,1,2,2137,597,590,503
12,Leverkusen,29,34.0,66,2,1,364,329,64,537,360,281,5,4,1,2009,442,415,516
13,Mainz 05,28,34.0,62,4,2,495,386,63,598,439,305,3,6,1,2097,606,580,511
14,RB Leipzig,29,34.0,49,0,0,360,426,66,523,349,289,5,3,1,1994,504,420,545
15,Stuttgart,34,34.0,64,2,1,371,419,53,550,342,307,1,4,1,2021,586,451,565
16,Union Berlin,28,34.0,62,1,1,423,333,64,663,376,296,2,2,4,1975,584,681,462
17,Wolfsburg,30,34.0,61,3,1,411,415,74,619,388,298,3,7,1,1984,621,522,543
