,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,Atalanta,3,48,1.3,139,94,69.1,16,11,11,10,26.3
1,Bologna,3,55,1.4,184,130,74.5,12,10,16,13,34.2
2,Cagliari,2,68,1.8,185,115,67.0,6,12,20,3,7.9
3,Empoli,1,70,1.8,216,150,69.9,10,11,17,7,18.4
4,Fiorentina,2,51,1.3,126,75,61.9,19,5,14,11,28.9
5,Genoa,2,60,1.6,184,125,69.6,4,16,18,10,26.3
6,Hellas Verona,3,59,1.6,159,101,64.8,14,11,13,4,10.5
7,Inter,2,32,0.8,127,96,78.0,25,9,4,15,39.5
8,Juventus,3,37,1.0,123,84,73.2,20,10,8,13,34.2
9,Lazio,2,58,1.5,146,89,63.7,18,10,10,9,23.7
10,Milan,2,31,0.8,125,95,78.4,26,8,4,18,47.4
11,Napoli,3,31,0.8,136,106,77.9,24,7,7,16,42.1
12,Roma,1,43,1.1,146,104,74.0,18,9,11,15,39.5
13,Salernitana,3,78,2.0,221,144,67.4,7,10,21,2,5.3
14,Sampdoria,3,63,1.7,185,123,67.6,10,6,22,7,18.4
15,Sassuolo,3,66,1.7,177,111,67.2,13,11,14,3,7.9
16,Spezia,3,71,1.9,208,139,70.7,10,6,22,7,18.4
17,Torino,3,41,1.1,124,81,74.2,13,11,14,9,23.7
18,Udinese,2,58,1.5,162,105,67.3,11,14,13,8,21.1
19,Venezia,3,69,1.8,228,161,74.6,6,9,23,4,10.5
