,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Arsenal,60,581,186,32.0,15.3,4.9,0.1,0.3,17.8,21,5,8,60.5,55.1,0.1,-0.5,-0.1
1,Aston Villa,50,461,159,34.5,12.1,4.2,0.1,0.3,17.6,20,3,3,44.0,42.0,0.1,6.0,5.0
2,Brentford,46,436,141,32.3,11.5,3.7,0.1,0.3,16.3,11,6,6,45.8,41.1,0.1,0.2,-1.1
3,Brighton,40,482,141,29.3,12.7,3.7,0.1,0.3,17.7,15,4,7,46.2,40.7,0.1,-6.2,-4.7
4,Burnley,32,405,119,29.4,10.7,3.1,0.1,0.3,17.2,14,1,2,39.7,38.1,0.1,-7.7,-7.1
5,Chelsea,75,583,200,34.3,15.3,5.3,0.1,0.3,17.4,26,8,9,63.4,56.6,0.1,11.6,10.4
6,Crystal Palace,50,404,140,34.7,10.6,3.7,0.1,0.3,16.1,13,6,8,46.4,40.1,0.1,3.6,3.9
7,Everton,42,430,130,30.2,11.3,3.4,0.1,0.3,17.7,18,6,7,41.2,35.8,0.1,0.8,0.2
8,Leeds United,42,480,142,29.6,12.6,3.7,0.1,0.3,18.3,13,5,5,44.4,40.4,0.1,-2.4,-3.4
9,Leicester City,62,433,164,37.9,11.4,4.3,0.1,0.4,17.8,14,2,2,47.8,46.2,0.1,14.2,13.8
10,Liverpool,94,721,237,32.9,19.0,6.2,0.1,0.4,16.7,13,7,8,88.7,82.7,0.1,5.3,4.3
11,Manchester City,96,704,237,33.7,18.5,6.2,0.1,0.4,16.3,17,7,9,88.7,81.4,0.1,7.3,7.6
12,Manchester Utd,56,503,179,35.6,13.2,4.7,0.1,0.3,17.7,19,3,5,55.8,51.9,0.1,0.2,1.1
13,Newcastle Utd,41,446,142,31.8,11.7,3.7,0.1,0.3,18.1,15,3,3,38.1,35.9,0.1,2.9,2.1
14,Norwich City,21,370,104,28.1,9.7,2.7,0.0,0.2,19.0,18,3,3,32.3,30.0,0.1,-11.3,-12.0
15,Southampton,41,478,161,33.7,12.6,4.2,0.1,0.2,17.7,24,4,4,44.8,41.6,0.1,-3.8,-4.6
16,Tottenham,63,486,185,38.1,12.8,4.9,0.1,0.3,16.7,16,5,5,61.2,57.3,0.1,1.8,0.7
17,Watford,33,397,123,31.0,10.4,3.2,0.1,0.3,18.1,24,1,2,40.0,38.4,0.1,-7.0,-6.4
18,West Ham,58,443,142,32.1,11.7,3.7,0.1,0.4,16.6,13,4,6,51.4,46.8,0.1,6.6,7.2
19,Wolves,35,401,133,33.2,10.6,3.5,0.1,0.3,18.6,13,1,1,37.5,36.8,0.1,-2.5,-2.8
