,Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,Arsenal,2,48,5,0,3,1,47.6,0.3,0.6,0.0
1,Aston Villa,3,54,4,2,5,2,46.5,0.3,-5.5,-0.1
2,Brentford,3,56,5,1,8,2,49.4,0.2,-4.6,-0.1
3,Brighton,2,44,3,1,6,0,42.5,0.3,-1.5,-0.0
4,Burnley,2,53,5,1,7,2,47.5,0.2,-3.5,-0.1
5,Chelsea,2,33,6,0,2,1,31.6,0.2,-0.4,-0.0
6,Crystal Palace,2,46,3,2,11,2,38.5,0.2,-5.5,-0.1
7,Everton,2,66,2,2,13,5,55.9,0.3,-5.1,-0.1
8,Leeds United,2,79,5,3,10,1,62.4,0.3,-15.6,-0.4
9,Leicester City,2,59,7,1,15,1,56.9,0.3,-1.1,-0.0
10,Liverpool,2,26,0,0,3,1,26.6,0.3,1.6,0.0
11,Manchester City,2,26,1,0,1,0,25.8,0.3,-0.2,-0.0
12,Manchester Utd,1,57,3,0,4,3,55.1,0.3,1.1,0.0
13,Newcastle Utd,3,62,5,0,8,2,52.3,0.3,-7.7,-0.2
14,Norwich City,2,84,9,1,9,2,67.6,0.3,-14.4,-0.4
15,Southampton,3,67,2,0,12,2,57.2,0.3,-7.8,-0.2
16,Tottenham,1,40,2,1,5,1,37.6,0.3,-1.4,-0.0
17,Watford,2,77,6,1,6,3,60.3,0.3,-13.7,-0.4
18,West Ham,2,51,2,2,8,2,48.0,0.3,-1.0,-0.0
19,Wolves,2,43,9,1,2,1,49.3,0.2,7.3,0.2
