,Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,Arminia,586,17.2,410,52,41,39,34,10,42,1.2,32,2,1,4,3,0
1,Augsburg,608,17.9,433,70,24,35,29,17,59,1.7,37,8,2,8,4,0
2,Bayern Munich,1170,34.4,874,93,64,84,36,19,161,4.7,122,13,9,10,5,2
3,Bochum,662,19.5,451,75,27,39,56,14,60,1.8,38,5,4,5,6,2
4,Dortmund,796,23.4,570,71,51,51,43,10,141,4.2,96,7,12,12,10,4
5,Eint Frankfurt,762,22.4,528,88,36,61,38,11,75,2.2,51,8,4,8,4,0
6,Freiburg,775,22.8,526,99,21,65,57,7,90,2.6,57,12,2,8,10,1
7,Gladbach,870,25.6,642,80,34,46,52,16,89,2.6,66,3,4,10,5,1
8,Greuther Fürth,525,15.4,357,48,37,30,35,18,43,1.3,27,3,4,4,5,0
9,Hertha BSC,639,18.8,432,77,31,41,42,16,58,1.7,35,8,1,4,8,2
10,Hoffenheim,785,23.1,583,71,39,52,27,13,100,2.9,81,3,5,8,1,2
11,Köln,796,23.4,590,88,26,43,37,12,91,2.7,67,8,5,8,2,1
12,Leverkusen,804,23.6,596,63,55,52,30,8,134,3.9,100,5,14,10,5,0
13,Mainz 05,760,22.4,526,82,32,59,48,13,81,2.4,63,4,3,6,4,1
14,RB Leipzig,762,22.4,551,75,44,45,42,5,129,3.8,88,10,10,7,13,1
15,Stuttgart,794,23.4,552,77,52,57,42,14,70,2.1,43,8,5,10,4,0
16,Union Berlin,688,20.2,496,61,30,58,36,7,70,2.1,49,2,6,11,2,0
17,Wolfsburg,723,21.3,502,70,43,51,51,6,68,2.0,47,3,3,8,7,0
