,Equipe,# J,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
0,América (MG),36,38.0,610,363,270,265,75,278,647,430,369,391,99,292,431,1041,687,13
1,Ath Paranaense,40,38.0,499,296,231,199,69,230,552,417,322,366,137,229,414,913,643,4
2,Atl Goianiense,31,38.0,530,313,293,164,73,228,578,394,350,390,141,249,349,879,858,5
3,Atlético Mineiro,35,38.0,604,361,264,247,93,281,691,407,410,345,84,261,369,973,565,4
4,Bahia,38,38.0,563,338,297,200,66,259,631,410,372,362,130,232,454,1017,784,5
5,Ceará,38,38.0,546,334,219,259,68,258,680,379,422,387,134,253,388,934,766,7
6,Chapecoense,42,38.0,570,340,320,195,55,247,642,385,395,417,154,263,451,1021,799,11
7,Corinthians,33,38.0,508,289,270,193,45,205,527,389,322,342,100,242,379,887,647,4
8,Cuiabá,30,38.0,563,316,271,217,75,242,575,421,333,357,122,235,413,976,779,6
9,Flamengo,41,38.0,635,386,263,274,98,287,699,411,412,344,101,243,404,1039,535,9
10,Fluminense,36,38.0,648,361,340,243,65,315,687,459,372,415,111,304,330,978,637,7
11,Fortaleza,28,38.0,519,299,242,224,53,242,628,385,386,331,92,239,413,932,591,16
12,Grêmio,39,38.0,624,370,283,259,82,290,673,431,383,349,84,265,434,1058,514,8
13,Internacional,36,38.0,638,357,298,278,62,286,697,410,411,391,98,293,426,1064,633,6
14,Juventude,35,38.0,539,298,259,219,61,256,627,408,371,362,119,243,401,940,748,4
15,Palmeiras,46,38.0,593,356,313,217,63,270,640,422,370,368,142,226,419,1012,728,4
16,Red Bull Bragantino,39,38.0,612,346,317,237,58,292,707,413,415,431,134,297,481,1093,707,10
17,Santos,38,38.0,533,293,251,219,63,272,613,444,341,324,106,218,399,932,657,8
18,São Paulo,31,38.0,547,303,218,261,68,234,525,446,291,346,90,256,331,878,622,6
19,Sport Recife,38,38.0,565,325,295,215,55,257,659,390,402,385,139,246,428,993,755,12
