,Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,Alavés,628,16.5,392,88,38,46,53,11,48,1.3,27,6,4,5,6,0
1,Athletic Club,821,21.6,581,94,46,42,47,11,72,1.9,52,9,1,2,5,3
2,Atlético Madrid,828,21.8,593,86,56,41,40,12,111,2.9,86,6,5,8,3,3
3,Barcelona,942,24.8,728,62,68,34,41,9,123,3.2,95,5,7,8,6,2
4,Betis,902,23.7,670,75,55,46,41,15,94,2.5,65,5,10,5,8,1
5,Cádiz,687,18.1,459,86,38,47,41,16,55,1.4,32,7,3,5,6,2
6,Celta Vigo,701,18.4,540,43,25,50,34,9,70,1.8,52,2,3,11,1,1
7,Elche,592,15.6,426,60,42,23,28,13,68,1.8,50,4,7,3,2,2
8,Espanyol,721,19.0,521,59,47,40,41,13,67,1.8,45,5,4,8,3,2
9,Getafe,700,18.4,464,85,32,40,61,18,53,1.4,38,7,3,2,1,2
10,Granada,702,18.5,488,67,43,49,40,15,68,1.8,45,8,3,6,2,4
11,Levante,720,19.0,486,80,48,65,28,13,79,2.1,55,3,5,9,6,1
12,Mallorca,761,20.0,495,90,47,55,55,19,59,1.6,32,6,4,7,8,2
13,Osasuna,721,19.0,502,85,28,49,44,13,62,1.6,42,7,0,7,4,2
14,Rayo Vallecano,862,22.7,603,98,37,54,52,18,63,1.7,36,5,7,8,5,2
15,Real Madrid,1195,31.4,922,68,83,56,49,17,139,3.7,102,2,13,11,8,3
16,Real Sociedad,773,20.3,530,70,56,57,46,14,69,1.8,38,3,6,12,10,0
17,Sevilla,784,20.6,578,78,35,35,43,15,95,2.5,63,9,8,7,5,3
18,Valencia,718,18.9,479,93,45,26,64,11,83,2.2,53,8,7,3,11,1
19,Villarreal,800,21.0,593,73,57,38,28,11,112,3.0,73,12,11,10,5,1
