,Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,Ath Paranaense,1037,27.29,766,93,56,67,38,17,84,2.21,55,8,6,10,5,0
1,Atlético Mineiro,1067,28.08,755,83,77,67,61,24,74,1.95,38,4,15,8,8,1
2,Avaí,799,21.03,525,75,78,41,65,15,29,0.76,15,3,2,2,6,1
3,Bahia,869,22.87,620,73,63,40,55,18,72,1.89,48,3,4,7,9,1
4,Botafogo (RJ),695,18.29,467,84,33,38,62,11,53,1.39,31,7,1,8,5,1
5,Ceará,884,23.26,622,75,63,54,58,12,61,1.61,41,10,1,4,5,0
6,Chapecoense,914,24.05,613,96,65,61,58,21,55,1.45,29,8,4,11,3,0
7,Corinthians,895,23.55,641,73,63,45,59,14,67,1.76,37,7,9,11,3,0
8,Cruzeiro,927,24.39,706,66,49,47,52,7,47,1.24,32,3,1,6,5,0
9,CSA,725,19.08,502,85,44,35,55,4,41,1.08,29,3,3,2,4,0
10,Flamengo,1063,27.97,780,86,79,52,51,15,147,3.87,112,7,8,15,3,2
11,Fluminense,1012,26.63,761,73,59,63,39,17,55,1.45,33,3,5,8,6,0
12,Fortaleza,766,20.16,553,58,55,37,58,5,89,2.34,61,6,4,8,10,0
13,Goiás,864,22.74,552,88,84,51,72,17,72,1.89,37,8,8,11,7,1
14,Grêmio,940,24.74,672,72,68,53,63,12,114,3.0,73,12,10,5,12,2
15,Internacional,950,25.0,678,80,67,65,49,11,64,1.68,37,8,4,13,1,1
16,Palmeiras,995,26.18,686,125,63,49,57,15,109,2.87,79,9,6,9,6,0
17,Santos,1011,26.61,724,70,68,68,59,22,95,2.5,58,4,9,13,8,3
18,São Paulo,929,24.45,660,95,62,48,51,13,66,1.74,43,5,8,5,5,0
19,Vasco da Gama,886,23.32,592,80,63,63,66,22,63,1.66,33,5,5,11,8,1
