,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Atalanta,96,700,256,36.6,18.4,6.7,0.1,0.4,17.3,31,7,10,83.5,75.6,0.1,12.5,13.4
1,Bologna,48,549,160,29.1,14.4,4.2,0.1,0.3,18.8,29,5,6,56.9,52.2,0.1,-8.9,-9.2
2,Brescia,34,414,138,33.3,10.9,3.6,0.1,0.2,17.9,32,4,4,43.4,40.2,0.1,-9.4,-10.2
3,Cagliari,50,438,136,31.1,11.5,3.6,0.1,0.3,19.5,16,4,6,41.8,37.1,0.1,8.2,8.9
4,Fiorentina,48,538,170,31.6,14.2,4.5,0.1,0.2,18.2,23,9,11,53.6,45.4,0.1,-5.6,-6.4
5,Genoa,46,420,140,33.3,11.0,3.7,0.1,0.2,19.2,24,11,16,48.7,36.2,0.1,-2.7,-1.2
6,Hellas Verona,45,435,146,33.6,11.4,3.8,0.1,0.2,17.4,12,8,9,50.5,43.6,0.1,-5.5,-6.6
7,Inter,80,607,216,35.6,16.0,5.7,0.1,0.3,17.6,22,10,11,69.4,60.8,0.1,10.6,9.2
8,Juventus,73,665,224,33.7,17.5,5.9,0.1,0.3,19.0,40,13,14,71.1,60.1,0.1,1.9,-0.1
9,Lazio,77,562,204,36.3,14.8,5.4,0.1,0.3,18.2,21,15,18,68.0,53.9,0.1,9.0,8.1
10,Lecce,52,513,165,32.2,13.5,4.3,0.1,0.2,19.6,19,11,15,54.7,43.5,0.1,-2.7,-2.5
11,Milan,60,610,186,30.5,16.0,4.9,0.1,0.3,19.0,24,8,9,62.8,56.0,0.1,-2.8,-4.0
12,Napoli,60,683,225,32.9,18.0,5.9,0.1,0.2,19.0,17,5,5,61.7,57.8,0.1,-1.7,-2.8
13,Parma,53,458,145,31.7,12.0,3.8,0.1,0.3,19.0,23,4,6,48.4,43.7,0.1,4.6,5.3
14,Roma,73,630,198,31.4,16.6,5.2,0.1,0.3,18.7,35,12,14,73.2,62.8,0.1,-0.2,-1.8
15,Sampdoria,48,549,161,29.3,14.4,4.2,0.1,0.2,19.4,25,9,12,50.2,40.8,0.1,-2.2,-1.8
16,Sassuolo,69,547,191,34.9,14.4,5.0,0.1,0.3,19.8,32,5,6,52.9,48.2,0.1,16.1,15.8
17,SPAL,27,462,117,25.3,12.2,3.1,0.0,0.2,19.4,23,5,7,40.7,35.2,0.1,-13.7,-13.2
18,Torino,44,438,144,32.9,11.5,3.8,0.1,0.3,18.4,21,7,8,44.8,39.4,0.1,-0.8,-2.4
19,Udinese,37,469,141,30.1,12.3,3.7,0.1,0.3,18.5,12,0,0,41.6,41.6,0.1,-4.6,-4.6
