,Squad,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Atalanta,57.2,26093,1876,6557,12183,7584,1117,26083,616,347,56.3,267,43.3,16491,84807,43655,978,780,256,595,358,17836,1854
1,Bologna,52.6,22738,2314,6600,10533,5822,794,22732,628,349,55.6,278,44.3,13270,75441,38917,799,556,203,617,331,14486,1649
2,Brescia,40.6,18739,2524,6842,7804,4306,653,18735,450,275,61.1,175,38.9,9591,55133,30316,537,385,86,557,316,10769,1231
3,Cagliari,45.7,21020,2568,7154,9248,4843,586,21015,538,324,60.2,214,39.8,11102,64793,34422,662,564,100,543,337,13049,1278
4,Fiorentina,47.4,21343,2205,6723,9390,5490,845,21332,670,428,63.9,242,36.1,12273,71566,39481,857,545,195,595,388,13488,1432
5,Genoa,49.5,22193,2703,7647,9844,4922,653,22178,565,335,59.3,230,40.7,12672,64976,33616,583,434,103,558,349,14203,1269
6,Hellas Verona,49.8,21661,2367,6427,10342,5111,744,21652,546,328,60.1,217,39.7,11821,64502,33903,728,553,146,536,307,13229,1554
7,Inter,54.2,24766,2441,7448,11450,6087,1024,24755,498,311,62.4,187,37.6,13950,76296,41980,797,520,190,515,292,17092,1806
8,Juventus,58.1,27421,2020,6575,13503,7570,863,27407,689,434,63.0,254,36.9,17726,83654,42833,879,767,211,510,293,20049,1734
9,Lazio,50.4,23332,2356,7008,10481,6081,950,23314,580,360,62.1,217,37.4,13144,80519,45995,935,658,212,503,270,15748,1658
10,Lecce,44.8,21113,2771,7565,9066,4702,718,21099,464,296,63.8,168,36.2,11985,65854,36369,752,536,144,481,318,13564,1349
11,Milan,54.9,24800,2257,6836,11724,6509,936,24791,656,402,61.3,254,38.7,15448,81062,42849,816,704,219,598,342,16958,1702
12,Napoli,59.2,28084,2139,6780,14082,7442,917,28079,587,362,61.7,225,38.3,18571,94242,53505,979,803,194,427,296,21074,2008
13,Parma,43.8,20080,2717,7279,8488,4533,730,20074,564,326,57.8,235,41.7,11250,63880,33929,673,502,185,582,355,12051,1210
14,Roma,52.7,23255,2266,6676,10889,5948,999,23241,671,417,62.1,253,37.7,12899,80074,42749,944,718,236,537,282,15834,1638
15,Sampdoria,42.7,20099,2280,6197,9151,4989,705,20087,507,307,60.6,200,39.4,10309,56300,30093,613,463,100,505,295,11802,1358
16,Sassuolo,57.5,25903,2438,7367,12657,6132,843,25897,757,468,61.8,288,38.0,14874,86686,48546,902,678,234,522,339,18445,1575
17,SPAL,46.9,20738,2614,7307,9038,4632,620,20731,519,357,68.8,162,31.2,11194,62194,32378,696,461,141,518,354,13190,1225
18,Torino,47.4,20846,2533,7181,9045,4883,737,20838,715,449,62.8,266,37.2,10971,63687,33973,843,544,156,605,360,12474,1202
19,Udinese,44.7,21128,2448,7177,9500,4716,706,21128,550,350,63.6,199,36.2,12203,67349,36437,709,539,163,538,328,13279,1261
