,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Alavés,34,307,98,31.9,8.1,2.6,0.1,0.3,16.7,11,6,6,39.3,34.7,0.1,-5.3,-6.7
1,Athletic Club,40,401,126,31.4,10.6,3.3,0.1,0.2,18.8,16,8,10,41.5,33.8,0.1,-1.5,-1.8
2,Atlético Madrid,50,440,136,30.9,11.6,3.6,0.1,0.3,17.3,14,6,8,56.8,50.6,0.1,-6.8,-6.6
3,Barcelona,84,488,213,43.6,12.8,5.6,0.2,0.4,17.4,46,6,6,66.3,61.7,0.1,17.7,16.3
4,Betis,48,471,152,32.3,12.4,4.0,0.1,0.3,18.4,20,6,8,51.0,45.2,0.1,-3.0,-3.2
5,Celta Vigo,37,359,131,36.5,9.4,3.4,0.1,0.2,18.8,23,6,9,39.2,32.4,0.1,-2.2,-1.4
6,Eibar,38,419,132,31.5,11.0,3.5,0.1,0.2,18.9,21,7,10,42.0,34.2,0.1,-4.0,-3.2
7,Espanyol,25,407,120,29.5,10.7,3.2,0.0,0.2,19.1,20,4,4,38.6,35.6,0.1,-13.6,-14.6
8,Getafe,42,408,121,29.7,10.7,3.2,0.1,0.3,18.6,31,6,7,41.6,36.1,0.1,0.4,-0.1
9,Granada,50,389,118,30.3,10.2,3.1,0.1,0.4,19.0,25,5,5,44.9,40.9,0.1,5.1,4.1
10,Leganés,30,427,143,33.5,11.2,3.8,0.1,0.2,19.2,29,3,5,39.9,35.9,0.1,-9.9,-8.9
11,Levante,45,422,133,31.5,11.1,3.5,0.1,0.3,19.0,21,5,5,48.1,44.2,0.1,-3.1,-4.2
12,Mallorca,39,410,118,28.8,10.8,3.1,0.1,0.3,19.2,22,8,10,41.1,33.3,0.1,-2.1,-2.3
13,Osasuna,46,455,142,31.2,12.0,3.7,0.1,0.3,18.7,22,8,8,49.4,43.2,0.1,-3.4,-5.2
14,Real Madrid,69,552,222,40.2,14.5,5.8,0.1,0.3,18.0,18,11,11,67.9,59.2,0.1,1.1,-1.2
15,Real Sociedad,54,424,139,32.8,11.2,3.7,0.1,0.4,17.7,12,4,5,48.9,45.1,0.1,5.1,4.9
16,Sevilla,53,484,164,33.9,12.7,4.3,0.1,0.3,16.7,17,7,7,53.2,47.9,0.1,-0.2,-1.9
17,Valencia,45,331,111,33.5,8.7,2.9,0.1,0.4,18.0,18,5,8,43.3,37.2,0.1,1.7,2.8
18,Valladolid,31,369,116,31.4,9.7,3.0,0.1,0.2,20.0,29,3,6,36.6,32.1,0.1,-5.6,-4.1
19,Villarreal,62,483,160,33.1,12.7,4.2,0.1,0.3,18.2,15,10,11,63.6,55.2,0.1,-1.6,-3.2
