,Equipe,# J,90s,Div,TklW,Terço Def,Terço Central,Terço de Ataque,Div,Tent,Tkl%,Perdido,Bloqueios,TC,Passe,Crts,Tkl+Int,Def,Erros
0,Ath Paranaense,36,38.0,504,337,224,210,70,206,549,375,343,284,91,193,346,850,608,14
1,Atlético Mineiro,32,38.0,556,362,278,210,68,233,620,376,387,385,137,248,344,900,787,8
2,Avaí,42,38.0,619,393,303,263,53,256,635,403,379,364,117,247,513,1132,827,14
3,Bahia,31,38.0,618,424,325,247,46,254,662,384,408,314,111,203,304,922,794,9
4,Botafogo (RJ),33,38.0,521,326,295,181,45,251,653,384,402,382,169,213,320,841,937,9
5,Ceará,33,38.0,601,402,283,259,59,256,733,349,477,367,123,244,367,968,758,6
6,Chapecoense,36,38.0,594,416,305,250,39,237,632,375,395,349,140,209,420,1014,844,2
7,Corinthians,33,38.0,548,357,266,228,54,221,657,336,436,330,110,220,324,872,794,6
8,Cruzeiro,35,38.0,558,346,265,235,58,265,659,402,394,354,138,216,372,930,665,12
9,CSA,40,38.0,581,382,341,204,36,276,714,387,438,333,151,182,386,967,864,4
10,Flamengo,37,38.0,651,424,267,313,71,293,678,432,385,304,92,212,323,974,556,13
11,Fluminense,39,38.0,560,372,286,206,68,248,617,402,369,333,124,209,371,931,549,14
12,Fortaleza,32,38.0,482,323,272,179,31,180,515,350,335,276,106,170,323,805,913,11
13,Goiás,39,38.0,586,397,304,231,51,286,803,356,517,384,141,243,388,974,866,9
14,Grêmio,40,38.0,618,389,310,238,70,262,645,406,383,298,111,187,370,988,659,10
15,Internacional,38,38.0,663,426,329,268,66,299,668,448,369,376,120,256,401,1064,705,8
16,Palmeiras,35,38.0,619,395,281,285,53,253,584,433,331,269,83,186,347,966,669,3
17,Santos,30,38.0,621,417,288,267,66,267,735,363,468,327,120,207,419,1040,662,9
18,São Paulo,36,38.0,635,405,287,283,65,255,574,444,319,344,115,229,314,949,692,5
19,Vasco da Gama,39,38.0,590,399,276,254,60,249,668,373,419,385,124,261,367,957,808,7
