,Cl,Equipe,MP,V,E,D,GP,GC,GD,Pt,Pts/PPJ,xG,xGA,xGD,xGD/90,Público,Artilheiro da equipe,Goleiro,Gols do artilheiro
0,1,Bayern Munich,34,26,4,4,100,32,68,82,241,89.5,37.9,51.6,152,57.353,Robert Lewandowski,Manuel Neuer,34
1,2,Dortmund,34,21,6,7,84,41,43,69,203,61.0,40.9,20.1,59,57.297,Jadon Sancho,Roman Bürki,17
2,3,RB Leipzig,34,18,12,4,81,37,44,66,194,71.3,38.8,32.6,96,28.819,Timo Werner,Péter Gulácsi,28
3,4,Gladbach,34,20,5,9,66,40,26,65,191,72.0,45.9,26.1,77,36.078,"Alassane Pléa, Marcus Thuram",Yann Sommer,10
4,5,Leverkusen,34,19,6,9,61,44,17,63,185,59.1,51.2,7.8,23,21.236,Kai Havertz,Lukáš Hrádecký,12
5,6,Hoffenheim,34,15,7,12,53,53,0,52,153,56.1,59.6,-3.4,-10,20.449,Andrej Kramarić,Oliver Baumann,12
6,7,Wolfsburg,34,13,10,11,48,46,2,49,144,52.8,42.9,9.9,29,18.621,Wout Weghorst,Koen Casteels,16
7,8,Freiburg,34,13,9,12,48,47,1,48,141,46.7,64.6,-17.8,-52,16.888,Nils Petersen,Alexander Schwolow,11
8,9,Eint Frankfurt,34,13,6,15,59,60,-1,45,132,59.5,49.9,9.6,28,35.435,André Silva,Kevin Trapp,12
9,10,Hertha BSC,34,11,8,15,48,59,-11,41,121,43.1,54.5,-11.4,-34,37.689,"Vedad Ibišević, Dodi Lukebakio",Rune Jarstein,7
10,11,Union Berlin,34,12,5,17,41,58,-17,41,121,41.4,54.3,-12.8,-38,15.467,Sebastian Andersson,Rafał Gikiewicz,12
11,12,Schalke 04,34,9,12,13,38,58,-20,39,115,37.8,51.6,-13.8,-41,46.681,Suat Serdar,Alexander Nübel,7
12,13,Mainz 05,34,11,4,19,44,65,-21,37,109,48.2,59.6,-11.5,-34,20.694,Robin Quaison,Robin Zentner,13
13,14,Köln,34,10,6,18,51,69,-18,36,106,48.9,53.3,-4.4,-13,35.094,Jhon Córdoba,Timo Horn,13
14,15,Augsburg,34,9,9,16,45,63,-18,36,106,43.1,56.6,-13.5,-40,20.265,Florian Niederlechner,Tomáš Koubek,13
15,16,Werder Bremen,34,8,7,19,42,69,-27,31,91,39.4,55.4,-16.0,-47,26.413,"Yuya Osako, Milot Rashica",Jiří Pavlenka,8
16,17,Düsseldorf,34,6,12,16,36,67,-31,30,88,35.9,60.7,-24.8,-73,30.581,Rouwen Hennings,"Zack Steffen, Florian Kastenmeier",15
17,18,Paderborn 07,34,4,8,22,37,74,-37,20,59,39.2,67.3,-28.1,-83,11.038,"Sven Michel, Dennis Srbeny...",Leopold Zingerle,5
