,Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,Augsburg,599,17.6,391,71,42,34,49,12,68,2.0,43,4,7,4,8,2
1,Bayern Munich,1108,32.6,862,72,70,56,34,14,176,5.2,140,7,11,7,9,2
2,Dortmund,794,23.4,598,59,57,43,29,8,155,4.6,129,5,13,6,2,0
3,Düsseldorf,747,22.0,491,89,52,41,59,15,64,1.9,45,7,4,4,4,0
4,Eint Frankfurt,878,25.8,611,95,63,60,39,10,100,2.9,61,16,6,13,2,2
5,Freiburg,784,23.1,517,89,50,56,67,5,75,2.2,38,9,5,8,15,0
6,Gladbach,827,24.3,589,66,56,47,56,13,114,3.4,82,8,10,5,8,1
7,Hertha BSC,636,18.7,446,63,46,39,34,8,83,2.4,52,8,11,8,4,0
8,Hoffenheim,797,23.4,538,83,56,55,55,10,91,2.7,60,6,7,12,4,2
9,Köln,724,21.3,500,73,44,47,45,15,83,2.4,54,7,7,9,6,0
10,Leverkusen,853,25.1,614,91,59,53,25,11,108,3.2,80,8,9,4,5,2
11,Mainz 05,795,23.4,552,81,66,41,44,11,76,2.2,51,5,9,6,4,1
12,Paderborn 07,730,21.5,487,76,61,43,47,16,59,1.7,40,3,5,9,2,0
13,RB Leipzig,981,28.8,726,73,65,61,42,14,138,4.1,92,9,17,11,8,1
14,Schalke 04,639,18.8,431,69,44,42,37,16,58,1.7,43,5,4,1,5,0
15,Union Berlin,659,19.4,424,86,41,49,49,10,66,1.9,37,8,3,8,8,2
16,Werder Bremen,756,22.2,536,68,44,52,37,19,69,2.0,43,4,6,11,2,3
17,Wolfsburg,814,23.9,542,94,50,59,57,12,80,2.4,49,6,9,7,9,0
