,Equipe,# J,90s,Att,Em jogo,Parado,FK,TB,Sw,Crz,TI,CK,In,Fora,Reto,Cmp,Desativado,Bloqueios
0,Ath Paranaense,36,38.0,19726,17739,1932,551,25,149,776,761,236,97,123,4,16069,55,263
1,Atlético Mineiro,32,38.0,18064,16116,1898,481,24,120,704,778,233,106,107,1,14436,50,298
2,Avaí,42,38.0,16439,14328,2065,590,35,96,709,831,183,91,68,1,12593,46,352
3,Bahia,31,38.0,16564,14714,1802,513,17,101,689,702,183,101,63,1,12818,48,257
4,Botafogo (RJ),33,38.0,17550,15616,1896,646,12,87,583,625,146,64,59,1,14223,38,263
5,Ceará,33,38.0,15897,13872,1959,511,16,116,791,773,263,110,117,2,12112,66,302
6,Chapecoense,36,38.0,14787,12674,2088,645,7,159,748,776,179,57,115,1,11300,25,274
7,Corinthians,33,38.0,18190,16088,2063,608,14,105,735,847,177,58,100,2,14639,39,263
8,Cruzeiro,35,38.0,18869,17028,1790,531,36,123,801,666,208,67,124,1,15242,51,274
9,CSA,40,38.0,13965,12170,1733,501,18,95,539,617,123,52,65,0,10769,62,205
10,Flamengo,37,38.0,20202,18257,1907,564,30,128,710,770,263,120,61,2,16698,38,338
11,Fluminense,39,38.0,21495,19652,1799,587,35,105,720,644,194,77,85,1,18213,44,291
12,Fortaleza,32,38.0,15606,13753,1811,586,22,147,584,623,145,45,68,2,12481,42,219
13,Goiás,39,38.0,13996,11975,1968,619,23,131,769,740,194,50,120,3,10506,53,242
14,Grêmio,40,38.0,21513,19724,1742,481,58,127,655,693,225,92,91,0,18106,47,292
15,Internacional,38,38.0,20116,18267,1778,494,31,177,772,733,214,102,85,1,16412,71,268
16,Palmeiras,35,38.0,16277,14357,1854,613,15,158,674,720,201,56,100,0,12959,66,272
17,Santos,30,38.0,18739,16763,1903,619,16,147,625,772,201,90,91,0,15131,73,302
18,São Paulo,36,38.0,19033,17075,1899,596,20,104,628,753,197,86,81,1,15520,59,297
19,Vasco da Gama,39,38.0,15252,13257,1949,618,13,90,694,741,192,77,105,1,11772,46,275
