,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,Arsenal,2,48,1.3,193,144,78.8,14,14,10,10,26.3
1,Aston Villa,4,67,1.8,182,115,65.9,9,8,21,7,18.4
2,Bournemouth,2,65,1.7,192,126,68.8,9,7,22,5,13.2
3,Brighton,1,54,1.4,168,116,69.0,9,14,15,9,23.7
4,Burnley,1,50,1.3,167,117,72.5,15,9,14,15,39.5
5,Chelsea,2,54,1.4,115,64,54.8,20,6,12,9,23.7
6,Crystal Palace,2,50,1.3,172,124,70.9,11,10,17,10,26.3
7,Everton,1,56,1.5,147,94,63.9,13,10,15,9,23.7
8,Leicester City,1,41,1.1,135,94,75.6,18,8,12,13,34.2
9,Liverpool,2,33,0.9,107,75,70.1,32,3,3,15,39.5
10,Manchester City,2,35,0.9,110,76,70.9,26,3,9,17,44.7
11,Manchester Utd,1,36,1.0,131,96,74.8,18,12,8,13,34.2
12,Newcastle Utd,1,58,1.5,195,139,71.3,11,11,16,11,28.9
13,Norwich City,3,75,2.0,210,135,66.2,5,6,27,5,13.2
14,Sheffield Utd,2,39,1.0,139,99,72.7,14,12,12,13,34.2
15,Southampton,2,60,1.6,168,108,66.1,15,7,16,9,23.7
16,Tottenham,2,47,1.2,181,134,76.8,16,11,11,8,21.1
17,Watford,1,64,1.7,178,116,68.5,8,10,20,9,23.7
18,West Ham,4,62,1.6,187,127,69.5,10,9,19,7,18.4
19,Wolves,1,40,1.0,129,88,69.8,15,14,9,13,34.2
