,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Augsburg,45,358,129,36.0,10.5,3.8,0.1,0.3,19.0,24,3,5,43.1,39.1,0.1,1.9,2.9
1,Bayern Munich,97,609,243,39.9,17.9,7.2,0.2,0.4,16.5,13,6,6,89.5,84.8,0.1,7.5,6.2
2,Dortmund,84,442,188,42.5,13.0,5.5,0.2,0.4,16.7,14,2,2,61.0,59.5,0.1,23.0,22.5
3,Düsseldorf,36,424,114,26.9,12.5,3.4,0.1,0.3,20.0,20,4,4,35.9,32.7,0.1,0.1,-0.7
4,Eint Frankfurt,57,500,170,34.0,14.7,5.0,0.1,0.3,16.7,16,2,2,59.5,58.0,0.1,-2.5,-3.0
5,Freiburg,46,442,138,31.2,13.0,4.1,0.1,0.3,17.7,27,5,6,46.7,42.0,0.1,-0.7,-1.0
6,Gladbach,64,475,187,39.4,14.0,5.5,0.1,0.3,17.0,26,4,6,72.0,67.2,0.2,-8.0,-7.2
7,Hertha BSC,45,357,119,33.3,10.5,3.5,0.1,0.4,17.7,12,3,3,43.1,40.7,0.1,1.9,1.3
8,Hoffenheim,52,447,154,34.5,13.2,4.5,0.1,0.3,17.1,24,3,4,56.1,53.0,0.1,-4.1,-4.0
9,Köln,50,413,147,35.6,12.2,4.3,0.1,0.3,16.8,20,2,4,48.9,46.3,0.1,1.1,1.7
10,Leverkusen,57,492,182,37.0,14.5,5.4,0.1,0.3,16.7,6,2,2,59.1,57.5,0.1,-2.1,-2.5
11,Mainz 05,42,450,139,30.9,13.2,4.1,0.1,0.3,18.9,13,3,3,48.2,45.8,0.1,-6.2,-6.8
12,Paderborn 07,37,427,124,29.0,12.6,3.6,0.1,0.3,19.7,20,2,4,39.2,36.1,0.1,-2.2,-1.1
13,RB Leipzig,81,545,206,37.8,16.0,6.1,0.1,0.4,17.0,23,5,5,71.3,67.6,0.1,9.7,8.4
14,Schalke 04,35,383,124,32.4,11.3,3.6,0.1,0.3,18.5,10,2,2,37.8,36.2,0.1,-2.8,-3.2
15,Union Berlin,38,397,130,32.7,11.7,3.8,0.1,0.3,18.0,7,4,5,41.4,37.6,0.1,-3.4,-3.6
16,Werder Bremen,40,419,133,31.7,12.3,3.9,0.1,0.3,18.7,11,3,6,39.4,34.7,0.1,0.6,2.3
17,Wolfsburg,48,471,153,32.5,13.8,4.5,0.1,0.3,18.0,12,4,4,52.8,49.7,0.1,-4.8,-5.7
