,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,América (MG),11502,15310,75.1,205952,86291,30,34.4,36.0,-4.4,395,1045,293,111,1387
1,Ath Paranaense,13162,16909,77.8,243850,90406,38,38.9,35.7,-0.9,419,1096,293,88,1362
2,Atlético Mineiro,15539,19257,80.7,274719,97475,35,32.9,33.5,2.1,347,1270,266,69,1399
3,Bahia,13881,17614,78.8,244593,89959,28,31.8,34.2,-3.8,403,1174,305,80,1502
4,Botafogo (RJ),13905,17472,79.6,257248,92227,40,33.1,32.6,6.9,394,1266,261,97,1438
5,Corinthians,15479,19002,81.5,275433,98149,28,27.0,27.4,1.0,348,1210,218,72,1377
6,Coritiba,11817,15457,76.5,215473,84223,25,25.6,24.1,-0.6,301,955,211,78,1147
7,Cruzeiro,14361,18201,78.9,269636,97127,26,35.2,36.5,-9.2,399,1320,298,87,1650
8,Cuiabá,12492,16082,77.7,229815,89196,24,24.8,26.6,-0.8,318,1109,231,76,1361
9,Flamengo,18274,21653,84.4,310238,102925,39,34.4,42.3,4.6,389,1694,387,76,1953
10,Fluminense,19515,22733,85.8,301792,96757,36,36.0,35.7,0.0,425,1501,323,86,1623
11,Fortaleza,12720,16374,77.7,231260,83905,29,35.1,31.3,-6.1,388,1191,283,92,1451
12,Goiás,12157,15828,76.8,231326,90720,22,24.5,27.5,-2.5,354,974,239,70,1284
13,Grêmio,13311,17285,77.0,223670,89614,45,36.4,36.4,8.6,389,1135,307,57,1541
14,Internacional,15590,19134,81.5,268435,91428,30,29.0,33.2,1.0,345,1206,261,68,1389
15,Palmeiras,14570,18222,80.0,286531,100915,44,43.1,39.3,0.9,445,1270,306,122,1593
16,Red Bull Bragantino,14607,18999,76.9,261348,99278,30,39.1,40.9,-9.1,465,1411,342,87,1768
17,Santos,11747,15385,76.4,209100,77717,26,28.9,30.6,-2.9,338,861,233,59,1237
18,São Paulo,18241,21653,84.2,327180,104072,27,33.1,34.5,-6.1,383,1437,299,74,1665
19,Vasco da Gama,13732,17392,79.0,247786,88502,30,32.4,33.9,-2.4,342,1120,308,145,1358
