,Equipe,# J,90s,CrtsA,CrtV,2CrdY,Fts,FltsP,Desativado,Crz,Crts,TklW,Pênaltis convertidos,PKcon,OG,Recuperação,Ganhos,Perdas,Ganhos%
0,Atalanta,29,38.0,76,1,1,486,367,63,710,340,369,4,9,1,2023,627,491,561
1,Bologna,28,38.0,85,2,2,458,456,55,510,258,385,3,7,1,1769,416,413,502
2,Cagliari,29,38.0,77,4,2,464,418,64,852,265,315,3,5,3,1774,571,613,482
3,Empoli,34,38.0,88,1,1,524,514,82,672,263,378,4,8,1,1623,509,628,448
4,Fiorentina,30,38.0,80,0,0,459,450,57,748,236,320,6,9,0,1720,626,603,509
5,Frosinone,34,38.0,68,2,1,388,442,48,524,241,322,8,8,2,1780,518,602,463
6,Genoa,34,38.0,79,3,3,450,406,47,610,332,352,3,4,1,1643,610,543,529
7,Hellas Verona,36,38.0,88,6,2,541,447,61,724,302,387,4,2,1,1842,750,644,538
8,Inter,27,38.0,46,1,0,405,408,77,804,280,321,11,4,0,1602,535,370,591
9,Juventus,31,38.0,87,2,1,478,376,72,708,253,369,3,3,2,1656,486,434,528
10,Lazio,22,38.0,101,5,2,473,435,72,624,295,348,3,3,0,1764,399,453,468
11,Lecce,26,38.0,89,5,2,504,481,56,650,308,374,4,6,1,1779,548,616,471
12,Milan,35,38.0,82,8,2,429,410,57,660,252,333,6,8,1,1616,432,410,513
13,Monza,31,38.0,88,5,4,458,408,40,584,279,334,2,9,0,1468,442,462,489
14,Napoli,29,38.0,77,5,3,381,451,71,737,241,326,8,4,0,1707,470,483,493
15,Roma,30,38.0,95,3,1,455,430,66,654,242,336,7,5,3,1602,478,443,519
16,Salernitana,39,38.0,91,3,1,450,470,61,596,279,327,1,10,2,1634,520,662,440
17,Sassuolo,30,38.0,71,4,2,387,398,26,661,267,310,6,11,4,1600,452,607,427
18,Torino,30,38.0,75,2,1,471,419,63,761,329,275,2,7,0,1679,588,594,497
19,Udinese,32,38.0,94,5,3,496,418,57,556,327,381,4,9,1,1752,561,467,546
