,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance
0,1,Real Madrid,38,29,8,1,87,26,61,95,2.5,68.8,35.4,33.4,0.9,72061
1,2,Barcelona,38,26,7,5,79,44,35,85,2.2,77.6,41.6,35.9,0.9,39846
2,3,Girona,38,25,6,7,85,46,39,81,2.1,70.8,54.3,16.5,0.4,12520
3,4,Atlético Madrid,38,24,4,10,70,43,27,76,2.0,62.4,39.5,23.0,0.6,59121
4,5,Athletic Club,38,19,11,8,61,37,24,68,1.8,52.7,41.3,11.4,0.3,46112
5,6,Real Sociedad,38,16,12,10,51,39,12,60,1.6,44.9,41.3,3.6,0.1,31710
6,7,Betis,38,14,15,9,48,45,3,57,1.5,43.9,50.2,-6.3,-0.2,51259
7,8,Villarreal,38,14,11,13,65,65,0,53,1.4,55.6,58.7,-3.2,-0.1,17957
8,9,Valencia,38,13,10,15,40,45,-5,49,1.3,43.1,47.6,-4.5,-0.1,43420
9,10,Alavés,38,12,10,16,36,46,-10,46,1.2,46.2,44.7,1.5,0.0,17391
10,11,Osasuna,38,12,9,17,45,56,-11,45,1.2,40.5,49.9,-9.4,-0.2,19703
11,12,Getafe,38,10,13,15,42,54,-12,43,1.1,45.7,53.8,-8.1,-0.2,11456
12,13,Celta Vigo,38,10,11,17,46,57,-11,41,1.1,50.7,54.6,-3.8,-0.1,20039
13,14,Sevilla,38,10,11,17,48,54,-6,41,1.1,44.9,55.9,-11.0,-0.3,34984
14,15,Mallorca,38,8,16,14,33,44,-11,40,1.0,40.5,42.9,-2.5,-0.1,17767
15,16,Las Palmas,38,10,10,18,33,47,-14,40,1.0,33.2,56.6,-23.5,-0.6,25041
16,17,Rayo Vallecano,38,8,14,16,29,48,-19,38,1.0,42.3,44.6,-2.3,-0.1,12749
17,18,Cádiz,38,6,15,17,26,55,-29,33,0.9,36.0,52.3,-16.3,-0.4,18016
18,19,Almería,38,3,12,23,43,75,-32,21,0.6,48.7,61.6,-12.9,-0.3,12893
19,20,Granada,38,4,9,25,38,79,-41,21,0.6,42.6,64.2,-21.6,-0.6,16350
