,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance
0,1,Palmeiras,38,20,10,8,64,33,31,70,1.84,57.2,39.4,17.8,0.47,33220
1,2,Grêmio,38,21,5,12,63,56,7,68,1.79,49.9,54.9,-5.0,-0.13,34585
2,3,Atlético Mineiro,38,19,9,10,52,32,20,66,1.74,46.5,40.9,5.5,0.15,33068
3,4,Flamengo,38,19,9,10,56,42,14,66,1.74,50.0,44.6,5.4,0.14,57486
4,5,Botafogo (RJ),38,18,10,10,58,37,21,64,1.68,50.1,49.0,1.0,0.03,27290
5,6,Red Bull Bragantino,38,17,11,10,49,35,14,62,1.63,57.9,42.8,15.1,0.4,6051
6,7,Fluminense,38,16,8,14,51,47,4,56,1.47,49.9,48.6,1.3,0.03,34431
7,8,Ath Paranaense,38,14,14,10,51,43,8,56,1.47,51.1,46.6,4.5,0.12,22378
8,9,Internacional,38,15,10,13,46,45,1,55,1.45,42.4,47.2,-4.8,-0.13,26675
9,10,Fortaleza,38,15,9,14,45,44,1,54,1.42,51.5,43.7,7.8,0.2,33540
10,11,São Paulo,38,14,11,13,40,38,2,53,1.39,49.5,36.7,12.7,0.33,43800
11,12,Cuiabá,38,14,9,15,40,39,1,51,1.34,38.7,42.1,-3.4,-0.09,16859
12,13,Corinthians,38,12,14,12,47,48,-1,50,1.32,40.5,49.7,-9.2,-0.24,36565
13,14,Cruzeiro,38,11,14,13,35,32,3,47,1.24,48.2,41.8,6.5,0.17,30527
14,15,Vasco da Gama,38,12,9,17,41,51,-10,45,1.18,47.6,46.2,1.3,0.03,21746
15,16,Bahia,38,12,8,18,50,53,-3,44,1.16,50.6,51.3,-0.6,-0.02,36970
16,17,Santos,38,11,10,17,39,64,-25,43,1.13,42.6,51.5,-8.9,-0.23,8196
17,18,Goiás,38,9,11,18,36,53,-17,38,1.0,36.6,45.9,-9.3,-0.24,10026
18,19,Coritiba,38,8,6,24,41,73,-32,30,0.79,39.3,60.8,-21.6,-0.57,20770
19,20,América (MG),38,5,9,24,42,81,-39,24,0.63,46.7,62.9,-16.2,-0.43,6373
