,Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
0,Atalanta,3,42,1.11,142,99,74.6,21,6,11,15,39.5
1,Bologna,3,32,0.84,125,91,76.8,18,14,6,17,44.7
2,Cagliari,3,68,1.79,157,92,59.2,8,12,18,5,13.2
3,Empoli,3,54,1.42,185,130,74.1,9,9,20,9,23.7
4,Fiorentina,3,46,1.21,148,101,74.3,17,9,12,8,21.1
5,Frosinone,2,69,1.82,180,112,64.4,8,11,19,7,18.4
6,Genoa,3,45,1.18,139,94,69.8,12,13,13,9,23.7
7,Hellas Verona,2,51,1.34,163,113,69.9,9,11,18,8,21.1
8,Inter,3,22,0.58,113,90,82.3,29,7,2,21,55.3
9,Juventus,3,31,0.82,116,86,75.0,19,14,5,17,44.7
10,Lazio,2,39,1.03,148,109,75.0,18,7,13,13,34.2
11,Lecce,1,54,1.42,173,119,71.7,8,14,16,7,18.4
12,Milan,4,49,1.29,163,115,74.8,22,9,7,13,34.2
13,Monza,2,51,1.34,191,138,77.0,11,12,15,12,31.6
14,Napoli,3,48,1.26,128,78,64.1,13,14,11,7,18.4
15,Roma,2,46,1.21,151,107,71.5,18,9,11,11,28.9
16,Salernitana,3,81,2.13,207,128,65.7,2,11,25,2,5.3
17,Sassuolo,2,75,1.97,173,101,61.3,7,9,22,3,7.9
18,Torino,2,36,0.95,143,107,79.7,13,14,11,18,47.4
19,Udinese,2,53,1.39,157,105,72.0,6,19,13,9,23.7
