,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,60,7,0,12,2,56.0,0.26,-2.0,-0.06
1,45,3,2,3,0,41.0,0.3,-4.0,-0.12
2,74,9,0,9,4,62.3,0.28,-7.7,-0.23
3,86,1,2,9,2,74.3,0.34,-9.7,-0.29
4,43,5,0,9,2,44.6,0.28,3.6,0.1
5,50,9,0,4,0,49.7,0.27,-0.3,-0.01
6,58,3,1,5,1,50.0,0.3,-7.0,-0.21
7,67,6,0,7,0,58.4,0.26,-8.6,-0.25
8,55,7,0,7,3,53.6,0.27,1.6,0.05
9,66,2,3,9,1,68.6,0.31,3.6,0.11
10,60,3,0,10,0,62.0,0.36,2.0,0.06
11,24,0,0,4,0,27.9,0.27,3.9,0.11
12,51,3,2,2,1,51.7,0.34,1.7,0.05
13,39,4,1,8,1,35.6,0.27,-2.4,-0.07
14,39,3,0,6,3,35.8,0.26,-0.2,-0.01
15,58,5,2,7,1,52.9,0.28,-4.1,-0.12
16,54,6,0,5,1,54.1,0.3,1.1,0.03
17,56,2,2,4,3,47.8,0.31,-5.2,-0.15
