,Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,Augsburg,2,60,7,0,12,2,56.0,0.3,-2.0,-0.1
1,Bayern Munich,3,45,3,2,3,0,41.0,0.3,-4.0,-0.1
2,Bochum,2,74,9,0,9,4,62.3,0.3,-7.7,-0.2
3,Darmstadt 98,2,86,1,2,9,2,74.3,0.3,-9.7,-0.3
4,Dortmund,2,43,5,0,9,2,44.6,0.3,3.6,0.1
5,Eint Frankfurt,2,50,9,0,4,0,49.7,0.3,-0.3,-0.0
6,Freiburg,1,58,3,1,5,1,50.0,0.3,-7.0,-0.2
7,Gladbach,2,67,6,0,7,0,58.4,0.3,-8.6,-0.2
8,Heidenheim,1,55,7,0,7,3,53.6,0.3,1.6,0.0
9,Hoffenheim,1,66,2,3,9,1,68.6,0.3,3.6,0.1
10,Köln,1,60,3,0,10,0,62.0,0.4,2.0,0.1
11,Leverkusen,2,24,0,0,4,0,27.9,0.3,3.9,0.1
12,Mainz 05,2,51,3,2,2,1,51.7,0.3,1.7,0.0
13,RB Leipzig,2,39,4,1,8,1,35.6,0.3,-2.4,-0.1
14,Stuttgart,2,39,3,0,6,3,35.8,0.3,-0.2,-0.0
15,Union Berlin,2,58,5,2,7,1,52.9,0.3,-4.1,-0.1
16,Werder Bremen,2,54,6,0,5,1,54.1,0.3,1.1,0.0
17,Wolfsburg,2,56,2,2,4,3,47.8,0.3,-5.2,-0.2
