,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance
0,1,Inter,38,29,7,2,89,22,67,94,2.5,78.2,31.2,47.1,1.2,72838
1,2,Milan,38,22,9,7,76,49,27,75,2.0,66.2,45.4,20.8,0.6,72000
2,3,Juventus,38,19,14,5,54,31,23,71,1.9,54.6,30.1,24.6,0.6,38142
3,4,Atalanta,38,21,6,11,72,42,30,69,1.8,57.8,41.1,16.7,0.4,14725
4,5,Bologna,38,18,14,6,54,32,22,68,1.8,47.9,37.1,10.9,0.3,25914
5,6,Roma,38,18,9,11,65,46,19,63,1.7,51.4,41.8,9.6,0.2,62924
6,7,Lazio,38,18,7,13,49,39,10,61,1.6,46.5,42.0,4.5,0.1,42689
7,8,Fiorentina,38,17,9,12,61,46,15,60,1.6,51.7,48.2,3.6,0.1,29941
8,9,Torino,38,13,14,11,36,36,0,53,1.4,37.7,37.4,0.3,0.0,22753
9,10,Napoli,38,13,14,11,55,48,7,53,1.4,61.4,38.4,23.0,0.6,45622
10,11,Genoa,38,12,13,13,45,45,0,49,1.3,35.7,42.8,-7.1,-0.2,29609
11,12,Monza,38,11,12,15,39,51,-12,45,1.2,39.5,56.3,-16.8,-0.4,12172
12,13,Hellas Verona,38,9,11,18,38,51,-13,38,1.0,38.0,48.7,-10.7,-0.3,21996
13,14,Lecce,38,8,14,16,32,54,-22,38,1.0,43.1,53.3,-10.2,-0.3,26642
14,15,Udinese,38,6,19,13,37,53,-16,37,1.0,39.1,49.1,-10.0,-0.3,21537
15,16,Cagliari,38,8,12,18,42,68,-26,36,1.0,42.9,54.5,-11.6,-0.3,16168
16,17,Empoli,38,9,9,20,29,54,-25,36,1.0,36.2,52.9,-16.7,-0.4,11092
17,18,Frosinone,38,8,11,19,44,69,-25,35,0.9,45.8,57.7,-12.0,-0.3,15824
18,19,Sassuolo,38,7,9,22,43,75,-32,30,0.8,39.8,61.6,-21.8,-0.6,13905
19,20,Salernitana,38,2,11,25,32,81,-49,17,0.4,30.3,74.4,-44.1,-1.2,18787
