,Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,Arsenal,1185,31.2,926,82,58,66,33,20,152,4.0,104,16,8,11,13,0
1,Aston Villa,912,24.0,670,77,47,73,31,14,129,3.4,92,8,8,10,8,3
2,Bournemouth,952,25.0,700,70,64,57,34,27,83,2.2,62,3,5,6,3,4
3,Brentford,804,21.2,557,102,34,55,42,14,81,2.1,57,7,3,8,6,0
4,Brighton,1010,26.6,749,87,54,71,38,11,89,2.3,59,5,9,9,6,1
5,Burnley,757,19.9,549,74,49,45,31,9,74,2.0,55,6,8,2,3,0
6,Chelsea,980,25.8,720,62,76,46,50,26,133,3.5,89,7,11,10,12,4
7,Crystal Palace,794,20.9,554,74,48,50,45,23,103,2.7,85,4,6,2,6,0
8,Everton,854,22.5,592,82,31,76,41,32,60,1.6,33,5,0,13,5,4
9,Fulham,877,23.1,652,79,40,67,24,15,95,2.5,73,6,4,8,3,1
10,Liverpool,1388,36.5,1045,116,66,101,43,17,131,3.4,96,8,9,10,7,1
11,Luton Town,749,19.7,504,73,59,55,46,12,81,2.1,46,7,6,16,6,0
12,Manchester City,1259,33.1,991,65,65,67,54,17,169,4.4,125,5,14,10,13,2
13,Manchester Utd,989,26.0,743,79,55,52,38,22,98,2.6,68,4,8,7,6,5
14,Newcastle Utd,983,25.9,713,69,72,67,46,16,144,3.8,90,7,18,13,13,3
15,Nott'ham Forest,783,20.6,566,67,49,56,32,13,90,2.4,70,5,7,3,3,2
16,Sheffield Utd,601,15.8,425,59,39,45,22,11,48,1.3,32,2,4,6,3,1
17,Tottenham,1053,27.7,818,60,60,61,31,23,122,3.2,96,7,7,5,3,4
18,West Ham,782,20.6,518,91,58,43,47,25,104,2.7,70,11,8,8,4,3
19,Wolves,743,19.6,519,67,53,47,42,15,81,2.1,52,7,7,6,7,2
