,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,Arsenal,86,647,209,32.3,17.0,5.5,0.1,0.4,15.8,6,10,10,76.1,68.5,0.1,9.9,7.5
1,Aston Villa,72,511,182,35.6,13.4,4.8,0.1,0.4,16.0,15,4,4,63.3,60.3,0.1,8.7,7.7
2,Bournemouth,52,539,175,32.5,14.2,4.6,0.1,0.3,16.7,18,2,3,55.9,53.6,0.1,-3.9,-3.6
3,Brentford,54,470,159,33.8,12.4,4.2,0.1,0.3,15.6,17,3,3,58.2,56.0,0.1,-4.2,-5.0
4,Brighton,50,555,198,35.7,14.6,5.2,0.1,0.2,16.7,11,5,6,56.8,52.2,0.1,-6.8,-7.2
5,Burnley,40,430,137,31.9,11.3,3.6,0.1,0.3,17.7,13,3,3,40.6,38.3,0.1,-0.6,-1.3
6,Chelsea,76,537,194,36.1,14.1,5.1,0.1,0.3,17.3,22,11,12,74.5,65.1,0.1,1.5,-0.1
7,Crystal Palace,56,452,162,35.8,11.9,4.3,0.1,0.3,17.2,20,4,4,48.6,45.4,0.1,7.4,6.6
8,Everton,40,504,152,30.2,13.3,4.0,0.1,0.2,16.7,14,2,3,54.0,51.6,0.1,-14.0,-13.6
9,Fulham,54,499,175,35.1,13.1,4.6,0.1,0.3,17.0,14,2,2,50.8,49.2,0.1,3.2,2.8
10,Liverpool,80,781,263,33.7,20.6,6.9,0.1,0.3,17.2,18,6,9,87.8,80.4,0.1,-7.8,-6.4
11,Luton Town,49,427,134,31.4,11.2,3.5,0.1,0.3,16.3,11,5,5,42.4,38.6,0.1,6.6,5.4
12,Manchester City,94,683,264,38.7,18.0,7.0,0.1,0.3,17.1,25,9,10,80.5,72.9,0.1,13.5,12.1
13,Manchester Utd,57,543,182,33.5,14.3,4.8,0.1,0.3,17.4,15,6,7,56.5,51.0,0.1,0.5,0.0
14,Newcastle Utd,83,542,196,36.2,14.3,5.2,0.1,0.4,15.7,9,8,9,76.0,69.0,0.1,7.0,6.0
15,Nott'ham Forest,49,450,143,31.8,11.8,3.8,0.1,0.3,17.2,7,1,1,49.9,49.1,0.1,-0.9,-1.1
16,Sheffield Utd,31,360,117,32.5,9.5,3.1,0.1,0.2,17.4,8,5,5,38.3,34.4,0.1,-7.3,-8.4
17,Tottenham,69,582,207,35.6,15.3,5.4,0.1,0.3,16.5,11,2,2,68.2,66.7,0.1,0.8,0.3
18,West Ham,58,445,146,32.8,11.7,3.8,0.1,0.4,16.2,17,4,5,52.3,48.4,0.1,5.7,5.6
19,Wolves,47,425,153,36.0,11.2,4.0,0.1,0.3,16.7,12,4,4,46.7,43.6,0.1,0.3,-0.6
