,Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,Arsenal,2,29,2,1,6,1,24.1,0.26,-3.9,-0.1
1,Aston Villa,2,61,1,1,10,4,61.9,0.36,4.9,0.13
2,Bournemouth,3,67,6,1,6,1,63.2,0.3,-2.8,-0.07
3,Brentford,2,65,2,0,6,0,57.0,0.3,-8.0,-0.21
4,Brighton,2,62,6,1,8,2,51.1,0.28,-8.9,-0.23
5,Burnley,2,78,6,0,11,3,75.8,0.29,0.8,0.02
6,Chelsea,2,63,3,0,8,3,52.5,0.27,-7.5,-0.2
7,Crystal Palace,3,58,3,0,7,2,47.5,0.29,-8.5,-0.22
8,Everton,1,51,8,0,9,3,52.4,0.28,4.4,0.12
9,Fulham,1,61,8,2,3,4,55.7,0.26,-1.3,-0.03
10,Liverpool,2,41,1,0,7,2,40.0,0.27,1.0,0.03
11,Luton Town,2,85,4,0,13,4,77.7,0.34,-3.3,-0.09
12,Manchester City,2,34,3,0,3,1,36.2,0.31,3.2,0.08
13,Manchester Utd,1,58,7,1,11,1,59.1,0.27,2.1,0.06
14,Newcastle Utd,3,62,4,1,8,1,61.0,0.29,0.0,0.0
15,Nott'ham Forest,3,67,4,1,15,2,47.2,0.27,-17.8,-0.47
16,Sheffield Utd,2,104,5,0,12,7,85.2,0.31,-11.8,-0.31
17,Tottenham,1,61,7,1,8,3,60.0,0.32,2.0,0.05
18,West Ham,2,74,8,0,6,4,72.0,0.26,2.0,0.05
19,Wolves,2,65,8,1,7,1,71.7,0.32,7.7,0.2
