,Equipe,# J,Posse,90s,Contatos,Def Pen,Terço Def,Terço Central,Terço de Ataque,Att Pen,Em jogo,Tent,Suc,Suc%,Tkld,Tkld%,Conduções,DistTot,DistPrg,PrgC,1/3,CPA,Perda de Domínio,Dis,Rec,PrgR
0,Almería,29,45.1,38.0,20070,2715,7746,8468,4071,631,20067,666,296,444,310,465,10790,56980,29134,569,432,131,580,281,12047,1080
1,Athletic Club,26,51.6,38.0,22736,1978,6159,10166,6645,931,22729,734,347,473,305,416,12897,70948,39281,864,587,217,554,351,14284,1801
2,Atlético Madrid,27,50.6,38.0,24416,2414,7789,11103,5714,934,24414,656,322,491,262,399,13702,67405,35788,730,473,200,486,277,16705,1557
3,Barcelona,29,64.3,38.0,28418,2020,6758,14000,7889,1153,28416,802,396,494,321,400,18805,101341,55627,963,784,279,546,326,21141,2168
4,Betis,30,50.6,38.0,22482,2329,7275,10222,5227,718,22473,773,365,472,311,402,12640,63649,31063,620,492,156,564,353,14567,1259
5,Cádiz,38,41.9,38.0,18156,2374,6497,7769,4091,579,18151,569,246,432,249,438,9031,48205,24623,475,350,89,567,354,9839,960
6,Celta Vigo,26,50.2,38.0,22608,2214,7194,10099,5553,734,22605,700,323,461,295,421,13546,71269,36623,704,558,161,566,298,14591,1393
7,Elche,32,45.5,38.0,19948,2416,7058,8743,4363,619,19943,708,342,483,311,439,11274,60085,29395,561,408,107,577,345,11950,1185
8,Espanyol,33,43.1,38.0,18805,2216,6173,8355,4471,688,18800,575,257,447,260,452,9604,51135,25085,528,385,111,526,245,10712,1135
9,Getafe,25,39.9,38.0,17947,1980,5769,8366,3992,589,17939,456,217,476,189,414,8694,41812,20506,365,292,78,504,268,9604,989
10,Girona,29,51.3,38.0,22397,2619,7918,9753,4932,761,22388,728,341,468,311,427,13365,73974,38669,725,497,167,467,330,15020,1364
11,Mallorca,31,41.1,38.0,18171,2351,6553,8032,3792,524,18166,556,293,527,198,356,9509,50982,24564,476,341,94,498,302,10356,935
12,Osasuna,26,48.0,38.0,20888,2287,6397,9352,5331,709,20883,626,313,500,247,395,11200,58264,28888,545,416,128,590,316,12580,1338
13,Rayo Vallecano,28,51.2,38.0,21773,2061,6266,9706,6029,699,21765,660,296,448,290,439,12216,65376,33507,703,547,131,554,374,13384,1377
14,Real Madrid,26,60.9,38.0,28884,2415,7781,12859,8464,1151,28872,971,475,489,379,390,19025,100381,53186,1008,735,338,490,297,21956,2000
15,Real Sociedad,30,54.6,38.0,23231,2283,6890,10794,5762,798,23227,680,307,451,293,431,13362,70912,36738,692,499,187,607,368,15101,1463
16,Sevilla,35,52.6,38.0,22999,2284,7140,10069,5984,741,22994,604,269,445,257,425,13542,67133,32550,558,520,122,515,312,15242,1497
17,Valencia,28,52.0,38.0,21621,2061,6446,9155,6255,822,21613,747,352,471,307,411,12239,69490,37661,786,630,166,555,338,13469,1457
18,Valladolid,36,48.7,38.0,20748,2571,7370,9027,4583,638,20744,718,309,430,318,443,11499,64338,32319,610,451,147,589,316,12521,1233
19,Villarreal,32,56.9,38.0,23817,2621,7659,10215,6180,911,23810,880,435,494,345,392,14392,81466,45470,846,570,239,552,343,16363,1617
