,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0,Arsenal,18281,21969,83.2,310206,100635,8542,9478,90.1,7825,8821,88.7,1454,2548,57.1,64,53.5,46.8,10.5,443,1637,459,62,2049
1,Aston Villa,13782,17396,79.2,244073,87581,6111,6947,88.0,5979,6934,86.2,1345,2579,52.2,35,38.8,31.6,-3.8,318,964,268,80,1242
2,Bournemouth,11715,15381,76.2,206704,82672,5412,6278,86.2,4751,5644,84.2,1192,2491,47.9,24,28.4,26.3,-4.4,261,850,237,75,1006
3,Brentford,11317,15551,72.8,209962,87002,5142,6116,84.1,4475,5602,79.9,1438,2947,48.8,36,38.4,30.5,-2.4,284,922,279,87,1131
4,Brighton,19210,22888,83.9,319736,106474,9346,10305,90.7,7892,8919,88.5,1463,2462,59.4,46,52.2,44.7,-6.2,480,1459,391,78,1849
5,Chelsea,19147,22836,83.8,316440,104718,9510,10494,90.6,7700,8709,88.4,1461,2499,58.5,27,38.6,35.3,-11.6,376,1426,370,68,1737
6,Crystal Palace,13395,17308,77.4,238779,88389,6005,6901,87.0,5794,6772,85.6,1309,2751,47.6,29,29.0,23.8,0.0,316,1013,239,51,1243
7,Everton,11790,15783,74.7,214056,82478,5336,6174,86.4,4771,5750,83.0,1366,2947,46.4,24,32.4,26.9,-8.4,308,964,224,67,1052
8,Fulham,13974,18014,77.6,255629,89303,5867,6818,86.1,6222,7333,84.8,1551,2860,54.2,33,28.5,23.7,4.5,306,1044,284,97,1326
9,Leeds United,12437,16924,73.5,206567,84295,6115,7225,84.6,4782,5973,80.1,1072,2528,42.4,31,31.8,27.3,-0.8,337,1086,270,70,1429
10,Leicester City,14887,18871,78.9,249219,89055,7245,8221,88.1,6087,7165,85.0,1165,2422,48.1,36,38.4,26.3,-2.4,319,1142,220,52,1304
11,Liverpool,20043,24361,82.3,352929,120466,9023,10114,89.2,8561,9758,87.7,1962,3283,59.8,58,55.6,52.3,2.4,458,1615,452,85,1992
12,Manchester City,23263,26642,87.3,396454,114920,11020,11888,92.7,9848,10836,90.9,1932,2849,67.8,69,57.5,57.6,11.5,464,1770,445,75,2073
13,Manchester Utd,16603,20525,80.9,276625,97026,8273,9294,89.0,6359,7306,87.0,1438,2651,54.2,42,52.2,44.6,-10.2,478,1268,398,57,1595
14,Newcastle Utd,13925,17837,78.1,246297,90893,6433,7370,87.3,5580,6605,84.5,1523,2774,54.9,42,51.8,45.0,-9.8,435,1083,403,64,1618
15,Nott'ham Forest,9543,13606,70.1,177315,72656,4046,4952,81.7,4071,5126,79.4,1187,2708,43.8,22,26.3,20.5,-4.3,246,660,172,50,859
16,Southampton,12319,16391,75.2,211636,79814,5972,6925,86.2,4830,5823,82.9,1170,2625,44.6,25,28.1,26.0,-3.1,302,938,239,71,1125
17,Tottenham,15972,19672,81.2,277567,92695,7333,8180,89.6,6707,7682,87.3,1499,2669,56.2,46,43.0,34.0,3.0,386,1071,323,104,1449
18,West Ham,12369,16357,75.6,219013,84296,5883,6778,86.8,4784,5831,82.0,1383,2753,50.2,25,32.7,26.8,-7.7,340,990,212,80,1274
19,Wolves,14554,18294,79.6,264071,87310,6350,7195,88.3,6306,7257,86.9,1574,2890,54.5,12,25.4,21.0,-13.4,294,1110,252,71,1343
