,Equipe,# J,Posse,90s,Contatos,Def Pen,Terço Def,Terço Central,Terço de Ataque,Att Pen,Em jogo,Tent,Suc,Suc%,Tkld,Tkld%,Conduções,DistTot,DistPrg,PrgC,1/3,CPA,Perda de Domínio,Dis,Rec,PrgR
0,Atalanta,27,49.9,38.0,23862,2217,7478,10221,6382,956,23854,785,340,433,355,452,13148,67208,33188,687,565,210,619,387,15359,1628
1,Bologna,27,54.7,38.0,24552,2551,8483,11383,4893,592,24546,567,265,467,243,429,14223,70806,35047,564,487,113,582,305,16622,1358
2,Cremonese,33,42.1,38.0,19346,2538,7184,8051,4334,678,19339,569,237,417,251,441,9843,51780,26321,521,394,101,553,297,10770,1100
3,Empoli,32,47.3,38.0,21188,2962,8175,8766,4485,674,21186,705,313,444,311,441,11736,64438,31714,608,452,135,552,372,13050,1105
4,Fiorentina,30,56.1,38.0,23123,2028,6652,10361,6366,977,23117,704,323,459,273,388,13434,77635,39528,789,601,194,572,345,15234,1607
5,Hellas Verona,36,41.2,38.0,18056,2231,6320,7844,4147,636,18055,627,274,437,275,439,8665,47590,22382,503,359,103,577,329,9350,1051
6,Inter,25,55.7,38.0,25128,2720,8300,11127,5922,953,25123,494,216,437,200,405,14972,75152,38723,668,492,141,505,261,17526,1613
7,Juventus,29,49.6,38.0,22810,2432,7514,10435,5077,817,22804,625,291,466,255,408,12888,66636,34490,673,496,145,583,350,15118,1389
8,Lazio,24,52.1,38.0,25453,2536,8100,12315,5243,769,25445,612,285,466,239,391,14379,73160,36610,683,484,182,528,290,18009,1368
9,Lecce,29,41.3,38.0,18839,2129,6291,8105,4660,606,18833,559,240,429,245,438,9288,51809,25326,515,366,119,626,329,9976,1219
10,Milan,30,55.6,38.0,23856,2177,7373,11143,5617,891,23851,800,368,460,324,405,13802,78895,41728,795,584,182,595,320,15792,1576
11,Monza,31,55.2,38.0,24603,2753,8855,11185,4768,680,24597,596,282,473,237,398,14329,79216,38961,708,500,152,575,309,17052,1350
12,Napoli,27,61.8,38.0,28410,2012,7168,13935,7548,1084,28400,798,337,422,361,452,17977,89551,46645,907,663,237,566,339,20948,1789
13,Roma,30,48.6,38.0,21861,2055,7183,10374,4566,789,21851,677,274,405,315,465,12407,68172,34789,684,490,170,559,318,14018,1198
14,Salernitana,30,44.9,38.0,20527,2604,7592,9096,4060,495,20525,599,264,441,261,436,11169,57765,27404,519,409,86,564,303,12529,1076
15,Sampdoria,40,46.1,38.0,20460,2511,7278,9134,4272,585,20458,543,260,479,222,409,11329,55044,26171,466,354,82,572,335,12492,1118
16,Sassuolo,31,49.2,38.0,22100,2484,7486,9584,5249,817,22090,653,299,458,270,413,13042,71240,36974,761,527,204,533,364,14664,1552
17,Spezia,34,47.4,38.0,20952,2701,7867,8357,4959,692,20948,653,278,426,304,466,10996,60775,29636,553,397,114,659,366,12304,1156
18,Torino,28,53.2,38.0,23243,2286,7273,10798,5380,733,23241,668,303,454,276,413,13094,71281,34612,684,527,182,618,314,15247,1317
19,Udinese,30,48.0,38.0,21183,2463,7415,9101,4912,849,21181,770,330,429,350,455,12105,65755,33221,646,461,163,641,336,13268,1344
