,Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,Augsburg,578,17.0,383,76,26,42,37,14,70,2.06,42,6,3,10,5,4
1,Bayern Munich,1094,32.18,841,63,68,78,24,20,153,4.5,114,2,12,16,5,4
2,Bochum,678,19.94,464,92,22,41,46,13,67,1.97,44,10,4,4,5,0
3,Dortmund,1014,29.82,735,74,80,72,41,12,144,4.24,102,5,16,10,8,3
4,Eint Frankfurt,711,20.91,507,62,50,47,35,10,95,2.79,64,2,10,11,8,0
5,Freiburg,724,21.29,499,87,31,51,45,11,87,2.56,57,11,3,7,9,0
6,Gladbach,725,21.32,509,89,32,43,40,12,81,2.38,60,7,4,7,3,0
7,Hertha BSC,652,19.18,436,65,56,38,42,15,70,2.06,49,4,5,3,9,0
8,Hoffenheim,719,21.15,513,65,46,36,47,12,83,2.44,57,3,9,7,6,1
9,Köln,705,20.74,505,78,37,50,27,8,78,2.29,57,4,5,7,5,0
10,Leverkusen,792,23.29,576,59,57,47,42,11,105,3.09,72,3,15,4,8,3
11,Mainz 05,696,20.47,483,77,32,54,38,12,84,2.47,51,9,3,13,6,2
12,RB Leipzig,874,25.71,629,70,55,63,46,11,108,3.18,76,5,6,10,9,2
13,Schalke 04,715,21.03,487,92,26,51,48,11,56,1.65,38,6,2,2,7,1
14,Stuttgart,810,23.82,561,85,52,54,46,12,83,2.44,64,3,5,4,5,2
15,Union Berlin,650,19.12,469,67,29,32,43,10,86,2.53,56,11,3,5,9,2
16,Werder Bremen,649,19.09,502,46,30,25,41,5,90,2.65,71,6,3,4,6,0
17,Wolfsburg,713,20.97,510,63,40,46,47,7,102,3.0,75,7,6,5,9,0
