,Squad,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,América (MG),15723,13682,1981,508,26,122,783,841,213,53,101,1,11599,60,350
1,Ath Paranaense,14833,12858,1919,447,25,181,612,821,200,88,66,1,11158,56,266
2,Atl Goianiense,17709,15850,1803,458,32,183,765,719,205,73,93,0,14186,56,310
3,Atlético Mineiro,21310,19447,1806,514,29,141,789,731,250,102,86,3,17665,57,298
4,Avaí,17767,15777,1935,591,33,112,646,730,170,61,78,1,14036,55,319
5,Botafogo (RJ),16663,14664,1948,632,31,129,618,764,177,37,127,1,13062,51,304
6,Ceará,16744,14691,1985,625,30,143,806,749,205,75,103,2,13081,68,299
7,Corinthians,20623,18676,1900,482,35,163,613,826,187,72,73,0,16802,47,344
8,Coritiba,15733,13743,1934,551,22,144,782,740,205,84,83,0,12230,56,299
9,Cuiabá,15500,13571,1879,510,18,115,839,747,216,78,118,1,11759,50,353
10,Flamengo,20558,18705,1802,566,61,118,780,655,242,136,61,4,17215,51,303
11,Fluminense,22006,19953,1994,630,50,126,713,767,227,88,73,3,18664,59,359
12,Fortaleza,15140,13210,1862,488,31,114,658,791,202,103,82,1,11311,68,319
13,Goiás,13078,11170,1853,510,14,94,641,729,132,56,64,0,9579,55,268
14,Internacional,18163,16321,1793,558,35,88,664,656,202,70,108,1,14610,49,336
15,Juventude,15890,13909,1932,536,18,119,766,695,205,70,111,0,12244,49,282
16,Palmeiras,18115,16089,1934,516,32,207,882,767,300,124,107,2,14450,92,297
17,Red Bull Bragantino,17196,15288,1850,482,31,193,830,764,216,152,31,2,13405,58,286
18,Santos,16885,14937,1892,584,32,140,730,710,205,75,93,0,13298,56,306
19,São Paulo,19554,17581,1907,489,23,192,787,781,231,74,143,0,15925,66,331
