,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,43,3,0,6,1,40.0,0.28,-2.0,-0.05
1,46,5,1,9,4,42.8,0.25,0.8,0.02
2,71,6,0,16,3,63.6,0.29,-4.4,-0.11
3,46,2,1,9,3,48.1,0.24,5.1,0.13
4,53,6,0,6,6,42.7,0.27,-4.3,-0.11
5,47,1,1,8,3,47.0,0.3,3.0,0.08
6,49,4,0,8,3,44.7,0.26,-1.3,-0.03
7,57,5,2,4,0,60.4,0.3,3.4,0.09
8,53,7,1,8,2,60.1,0.28,9.1,0.24
9,78,5,1,7,1,64.1,0.32,-12.9,-0.34
10,68,4,4,8,5,55.4,0.29,-7.6,-0.2
11,47,2,0,0,2,54.1,0.33,9.1,0.24
12,33,3,1,4,1,30.3,0.3,-1.7,-0.05
13,43,2,2,6,1,41.3,0.27,-0.7,-0.02
14,33,2,0,8,2,33.2,0.24,2.2,0.06
15,68,6,2,9,0,60.1,0.3,-7.9,-0.21
16,73,2,1,8,5,46.0,0.29,-22.0,-0.58
17,63,3,1,7,1,55.1,0.3,-6.9,-0.18
18,55,4,0,4,1,53.2,0.29,-0.8,-0.02
19,58,2,0,6,1,52.2,0.28,-4.8,-0.13
