,Squad,# Pl,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90
0,Arsenal,1,43,3,0,6,1,40.0,0.3,-2.0,-0.0
1,Aston Villa,2,46,5,1,9,4,42.8,0.2,0.8,0.0
2,Bournemouth,2,71,6,0,16,3,63.6,0.3,-4.4,-0.1
3,Brentford,1,46,2,1,9,3,48.1,0.2,5.1,0.1
4,Brighton,2,53,6,0,6,6,42.7,0.3,-4.3,-0.1
5,Chelsea,2,47,1,1,8,3,47.0,0.3,3.0,0.1
6,Crystal Palace,3,49,4,0,8,3,44.7,0.3,-1.3,-0.0
7,Everton,2,57,5,2,4,0,60.4,0.3,3.4,0.1
8,Fulham,2,53,7,1,8,2,60.1,0.3,9.1,0.2
9,Leeds United,2,78,5,1,7,1,64.1,0.3,-12.9,-0.3
10,Leicester City,2,68,4,4,8,5,55.4,0.3,-7.6,-0.2
11,Liverpool,2,47,2,0,0,2,54.1,0.3,9.1,0.2
12,Manchester City,2,33,3,1,4,1,30.3,0.3,-1.7,-0.0
13,Manchester Utd,1,43,2,2,6,1,41.3,0.3,-0.7,-0.0
14,Newcastle Utd,2,33,2,0,8,2,33.2,0.2,2.2,0.1
15,Nott'ham Forest,3,68,6,2,9,0,60.1,0.3,-7.9,-0.2
16,Southampton,2,73,2,1,8,5,46.0,0.3,-22.0,-0.6
17,Tottenham,2,63,3,1,7,1,55.1,0.3,-6.9,-0.2
18,West Ham,2,55,4,0,4,1,53.2,0.3,-0.8,-0.0
19,Wolves,2,58,2,0,6,1,52.2,0.3,-4.8,-0.1
